,Red_his,Green_his,Blue_his
0,51.0,54.0,69.0
1,16.0,32.0,26.0
2,19.0,36.0,38.0
3,20.0,30.0,54.0
4,36.0,22.0,55.0
5,37.0,35.0,84.0
6,21.0,22.0,106.0
7,23.0,24.0,117.0
8,14.0,31.0,117.0
9,12.0,21.0,151.0
10,15.0,37.0,196.0
11,30.0,27.0,225.0
12,30.0,46.0,225.0
13,28.0,43.0,258.0
14,36.0,70.0,291.0
15,41.0,81.0,334.0
16,41.0,93.0,349.0
17,60.0,103.0,394.0
18,66.0,108.0,419.0
19,103.0,130.0,466.0
20,67.0,120.0,473.0
21,79.0,138.0,512.0
22,66.0,132.0,545.0
23,94.0,143.0,633.0
24,77.0,160.0,593.0
25,74.0,167.0,674.0
26,97.0,154.0,743.0
27,128.0,186.0,796.0
28,124.0,202.0,812.0
29,134.0,190.0,862.0
30,144.0,238.0,863.0
31,185.0,273.0,998.0
32,190.0,247.0,1024.0
33,213.0,279.0,1089.0
34,257.0,280.0,1103.0
35,234.0,362.0,1147.0
36,281.0,268.0,1201.0
37,271.0,351.0,1236.0
38,311.0,337.0,1341.0
39,362.0,392.0,1395.0
40,362.0,392.0,1360.0
41,386.0,457.0,1399.0
42,382.0,411.0,1451.0
43,402.0,442.0,1607.0
44,507.0,496.0,1600.0
45,471.0,460.0,1688.0
46,524.0,552.0,1736.0
47,607.0,525.0,1776.0
48,599.0,601.0,1874.0
49,649.0,598.0,1831.0
50,687.0,579.0,1791.0
51,675.0,698.0,1911.0
52,735.0,601.0,1897.0
53,773.0,656.0,1922.0
54,761.0,668.0,1950.0
55,878.0,688.0,1818.0
56,865.0,833.0,1995.0
57,901.0,896.0,2028.0
58,912.0,856.0,2049.0
59,957.0,948.0,1957.0
60,956.0,986.0,2063.0
61,1019.0,1036.0,1884.0
62,1095.0,1116.0,2047.0
63,1053.0,1344.0,2081.0
64,1163.0,1229.0,2038.0
65,1117.0,1436.0,2034.0
66,1168.0,1260.0,1948.0
67,1217.0,1603.0,1859.0
68,1253.0,1493.0,1909.0
69,1230.0,1612.0,1898.0
70,1317.0,1601.0,2038.0
71,1306.0,1768.0,1972.0
72,1308.0,1791.0,1861.0
73,1429.0,1793.0,1941.0
74,1330.0,1603.0,1898.0
75,1458.0,1778.0,1901.0
76,1375.0,1951.0,1986.0
77,1358.0,1804.0,1847.0
78,1499.0,1741.0,1860.0
79,1526.0,1960.0,1813.0
80,1444.0,1746.0,1832.0
81,1560.0,1879.0,1764.0
82,1545.0,1641.0,1805.0
83,1607.0,1863.0,1763.0
84,1504.0,1648.0,1783.0
85,1535.0,1712.0,1742.0
86,1625.0,1696.0,1834.0
87,1571.0,1562.0,1710.0
88,1689.0,1839.0,1809.0
89,1665.0,1795.0,1683.0
90,1654.0,1597.0,1673.0
91,1759.0,1737.0,1674.0
92,1646.0,1775.0,1790.0
93,1697.0,1573.0,1608.0
94,1717.0,1594.0,1783.0
95,1666.0,1610.0,1642.0
96,1691.0,1795.0,1696.0
97,1684.0,1760.0,1581.0
98,1680.0,1496.0,1535.0
