,Red_his,Green_his,Blue_his
0,768.0,768.0,1807.0
1,0.0,0.0,252.0
2,0.0,0.0,310.0
3,0.0,0.0,418.0
4,0.0,0.0,597.0
5,0.0,0.0,798.0
6,0.0,1.0,1023.0
7,0.0,0.0,1162.0
8,0.0,0.0,1347.0
9,0.0,4.0,1668.0
10,0.0,2.0,1828.0
11,0.0,6.0,2213.0
12,0.0,10.0,2544.0
13,0.0,7.0,2459.0
14,0.0,9.0,2979.0
15,0.0,20.0,3091.0
16,0.0,41.0,3237.0
17,1.0,55.0,2804.0
18,0.0,101.0,3180.0
19,1.0,192.0,2977.0
20,0.0,304.0,2724.0
21,0.0,365.0,3043.0
22,0.0,470.0,2586.0
23,2.0,664.0,2666.0
24,25.0,380.0,2327.0
25,61.0,710.0,2504.0
26,61.0,838.0,2044.0
27,183.0,696.0,2405.0
28,341.0,633.0,2007.0
29,649.0,751.0,1773.0
30,614.0,611.0,2094.0
31,638.0,890.0,1892.0
32,711.0,834.0,1807.0
33,1012.0,701.0,1505.0
34,721.0,702.0,1791.0
35,576.0,832.0,1599.0
36,781.0,967.0,1610.0
37,815.0,858.0,1492.0
38,1157.0,1079.0,1463.0
39,849.0,1039.0,1501.0
40,910.0,1050.0,1643.0
41,846.0,1192.0,1415.0
42,1041.0,1283.0,1372.0
43,1589.0,1431.0,1478.0
44,1159.0,1640.0,1561.0
45,936.0,1586.0,1248.0
46,1404.0,1440.0,1244.0
47,1286.0,1902.0,1344.0
48,1833.0,1855.0,1269.0
49,951.0,1675.0,1375.0
50,1326.0,1809.0,1191.0
51,1390.0,2015.0,1316.0
52,1375.0,1801.0,1239.0
53,1933.0,1885.0,1566.0
54,1613.0,1885.0,1150.0
55,1695.0,1820.0,1257.0
56,1403.0,1982.0,1306.0
57,2411.0,2052.0,1150.0
58,2148.0,1812.0,1334.0
59,1944.0,1939.0,1241.0
60,1614.0,1934.0,1324.0
61,2261.0,1865.0,1247.0
62,2756.0,1894.0,1519.0
63,2383.0,1890.0,1224.0
64,1986.0,1868.0,1507.0
65,2099.0,1899.0,1388.0
66,2809.0,2024.0,1302.0
67,2802.0,1943.0,1680.0
68,2369.0,1884.0,1742.0
69,2135.0,1723.0,1487.0
70,2252.0,1912.0,1648.0
71,2630.0,1857.0,2123.0
72,2676.0,1841.0,1932.0
73,1987.0,1800.0,1577.0
74,2049.0,1985.0,1871.0
75,2108.0,1869.0,1953.0
76,2807.0,2197.0,1673.0
77,2206.0,1817.0,2168.0
78,2030.0,2351.0,2154.0
79,2138.0,2164.0,2028.0
80,2294.0,2093.0,1847.0
81,3103.0,2117.0,2042.0
82,2143.0,2179.0,2200.0
83,2398.0,2239.0,2471.0
84,2528.0,2046.0,2078.0
85,3105.0,2240.0,2440.0
86,2636.0,1986.0,2615.0
87,2641.0,2258.0,3244.0
88,2554.0,2029.0,2308.0
89,1918.0,2213.0,3101.0
90,2687.0,1926.0,3506.0
91,2692.0,2159.0,3086.0
92,2192.0,2080.0,3340.0
93,1875.0,2097.0,3640.0
94,1913.0,2207.0,3238.0
95,2083.0,2821.0,2984.0
96,2894.0,2386.0,4113.0
97,1663.0,2812.0,3910.0
98,1551.0,2920.0,2775.0
99,4939.0,6393.0,7299.0
100,2124.0,2561.0,4075.0
101,1700.0,3254.0,3266.0
102,1444.0,3093.0,3477.0
103,1576.0,2600.0,4268.0
104,1302.0,3010.0,3371.0
105,1685.0,2831.0,5011.0
106,1513.0,2383.0,5626.0
107,1223.0,2032.0,5057.0
108,1026.0,2581.0,7598.0
109,1360.0,2283.0,12288.0
110,1570.0,2525.0,11391.0
111,1334.0,2465.0,12100.0
112,1099.0,2627.0,10746.0
113,1321.0,2627.0,9220.0
114,1316.0,2770.0,9532.0
115,2056.0,3210.0,8154.0
116,1403.0,3837.0,5477.0
117,1638.0,2294.0,3696.0
118,2041.0,3827.0,3563.0
119,1813.0,4017.0,3302.0
120,2769.0,3260.0,3190.0
121,2269.0,3122.0,2552.0
122,2549.0,4710.0,3637.0
123,2457.0,5151.0,2813.0
124,4631.0,3756.0,3601.0
125,6662.0,6103.0,4420.0
126,3478.0,6867.0,4602.0
127,4576.0,5356.0,4091.0
128,5973.0,7210.0,3732.0
129,5664.0,9602.0,3898.0
130,3823.0,6193.0,3297.0
131,5251.0,11058.0,2397.0
132,4400.0,7758.0,2199.0
133,5650.0,8278.0,1624.0
134,9559.0,8838.0,1758.0
135,9000.0,6402.0,1094.0
136,3937.0,3674.0,985.0
137,9994.0,3759.0,602.0
138,7284.0,4703.0,688.0
139,8314.0,3946.0,567.0
140,5192.0,2997.0,586.0
141,5298.0,3064.0,417.0
142,4433.0,3098.0,437.0
143,4735.0,2680.0,460.0
144,6031.0,2594.0,406.0
145,3993.0,2271.0,499.0
146,2378.0,2607.0,503.0
147,3866.0,2846.0,394.0
148,3976.0,2653.0,435.0
149,3713.0,3418.0,432.0
150,2565.0,2755.0,433.0
151,3107.0,4206.0,317.0
