,Red_his,Green_his,Blue_his
0,1.0,15694.0,14430.0
1,1.0,938.0,802.0
2,0.0,846.0,744.0
3,2.0,940.0,860.0
4,2.0,810.0,765.0
5,0.0,819.0,735.0
6,6.0,788.0,715.0
7,6.0,854.0,813.0
8,8.0,845.0,789.0
9,11.0,888.0,791.0
10,12.0,837.0,744.0
11,13.0,930.0,773.0
12,19.0,882.0,902.0
13,29.0,890.0,881.0
14,31.0,911.0,994.0
15,36.0,993.0,1034.0
16,45.0,900.0,1160.0
17,53.0,961.0,1144.0
18,71.0,903.0,1069.0
19,70.0,930.0,1255.0
20,92.0,906.0,1099.0
21,100.0,914.0,965.0
22,104.0,921.0,1062.0
23,128.0,947.0,1002.0
24,115.0,946.0,1175.0
25,141.0,1007.0,991.0
26,152.0,1012.0,910.0
27,194.0,1092.0,1101.0
28,231.0,1163.0,1273.0
29,232.0,1163.0,1215.0
30,234.0,1257.0,1586.0
31,275.0,1397.0,1910.0
32,265.0,1320.0,2195.0
33,288.0,1380.0,2639.0
34,280.0,1315.0,2805.0
35,287.0,1468.0,3776.0
36,334.0,1409.0,3927.0
37,298.0,1456.0,4043.0
38,315.0,1536.0,4782.0
39,342.0,1620.0,5042.0
40,316.0,1527.0,5142.0
41,335.0,1661.0,5160.0
42,334.0,1648.0,4194.0
43,342.0,1822.0,4175.0
44,387.0,1938.0,4215.0
45,358.0,1891.0,2991.0
46,353.0,1983.0,3062.0
47,305.0,2123.0,2394.0
48,325.0,2230.0,2809.0
49,358.0,2139.0,2167.0
50,378.0,2204.0,1819.0
51,351.0,2214.0,2057.0
52,359.0,2091.0,1683.0
53,363.0,2083.0,1630.0
54,384.0,2049.0,1637.0
55,364.0,1966.0,1601.0
56,363.0,1859.0,1914.0
57,390.0,1702.0,1704.0
58,396.0,1537.0,1550.0
59,366.0,1387.0,1648.0
60,409.0,1229.0,1841.0
61,406.0,1099.0,1591.0
62,419.0,965.0,1771.0
63,397.0,965.0,1951.0
64,458.0,825.0,1787.0
65,408.0,720.0,1847.0
66,388.0,659.0,1742.0
67,388.0,645.0,2015.0
68,388.0,606.0,1965.0
69,389.0,573.0,1932.0
70,429.0,516.0,2093.0
71,412.0,568.0,2253.0
72,427.0,517.0,2293.0
73,449.0,522.0,2290.0
74,395.0,512.0,2236.0
75,412.0,527.0,2517.0
76,448.0,482.0,2908.0
77,400.0,486.0,2575.0
78,446.0,451.0,3050.0
79,461.0,528.0,3306.0
80,497.0,478.0,3172.0
81,451.0,459.0,3197.0
82,463.0,441.0,2977.0
83,513.0,477.0,3438.0
84,524.0,430.0,3068.0
85,563.0,475.0,2789.0
86,541.0,457.0,2943.0
87,512.0,413.0,2545.0
88,659.0,477.0,2929.0
89,587.0,462.0,2582.0
90,603.0,421.0,2081.0
91,641.0,475.0,2137.0
92,698.0,411.0,2168.0
93,696.0,430.0,1799.0
94,737.0,392.0,1785.0
95,712.0,457.0,1571.0
96,801.0,419.0,1928.0
97,858.0,415.0,1514.0
