,Red_his,Green_his,Blue_his
0,774.0,793.0,777.0
1,2.0,7.0,0.0
2,4.0,8.0,3.0
3,11.0,19.0,2.0
4,12.0,23.0,3.0
5,6.0,32.0,5.0
6,26.0,61.0,6.0
7,27.0,61.0,11.0
8,33.0,108.0,11.0
9,72.0,132.0,12.0
10,113.0,215.0,17.0
11,79.0,233.0,24.0
12,149.0,326.0,35.0
13,206.0,321.0,40.0
14,250.0,336.0,36.0
15,154.0,350.0,38.0
16,250.0,438.0,62.0
17,279.0,428.0,69.0
18,184.0,529.0,127.0
19,412.0,527.0,168.0
20,313.0,685.0,172.0
21,320.0,685.0,262.0
22,260.0,711.0,302.0
23,379.0,742.0,370.0
24,510.0,959.0,399.0
25,402.0,1017.0,468.0
26,411.0,1019.0,558.0
27,459.0,993.0,744.0
28,791.0,1093.0,759.0
29,659.0,1031.0,838.0
30,708.0,999.0,992.0
31,725.0,1197.0,1116.0
32,793.0,1017.0,1217.0
33,1236.0,1095.0,1216.0
34,808.0,1115.0,1290.0
35,843.0,1172.0,1405.0
36,871.0,1139.0,1574.0
37,805.0,1223.0,1608.0
38,1249.0,1200.0,1412.0
39,844.0,1269.0,1458.0
40,849.0,1233.0,1526.0
41,813.0,1361.0,1486.0
42,896.0,1446.0,1501.0
43,1287.0,1319.0,1554.0
44,866.0,1466.0,1622.0
45,985.0,1544.0,1640.0
46,963.0,1551.0,1774.0
47,1014.0,1729.0,1764.0
48,1853.0,2027.0,2145.0
49,1199.0,1844.0,2223.0
50,1908.0,2450.0,2670.0
51,2236.0,2877.0,2744.0
52,2750.0,3024.0,2997.0
53,1759.0,2128.0,2345.0
54,2250.0,2904.0,2764.0
55,2100.0,2548.0,2535.0
56,1488.0,2099.0,2193.0
57,2682.0,2743.0,2870.0
58,2247.0,2980.0,2807.0
59,2319.0,2731.0,2554.0
60,1640.0,2696.0,2292.0
61,2214.0,2773.0,2679.0
62,2909.0,2623.0,2416.0
63,2478.0,2600.0,2243.0
64,1979.0,2591.0,2113.0
65,2079.0,2618.0,2225.0
66,2404.0,2563.0,2231.0
67,3030.0,2655.0,2327.0
68,2351.0,2574.0,2383.0
69,2225.0,2668.0,2603.0
70,2197.0,2643.0,2612.0
71,2953.0,2584.0,2600.0
72,2693.0,2724.0,2642.0
73,2404.0,2897.0,2791.0
