,Red_his,Green_his,Blue_his
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,777.0
7,0.0,0.0,3.0
8,0.0,0.0,5.0
9,0.0,0.0,5.0
10,0.0,0.0,17.0
11,0.0,0.0,11.0
12,0.0,0.0,29.0
13,0.0,0.0,24.0
14,0.0,0.0,75.0
15,0.0,0.0,36.0
16,0.0,0.0,100.0
17,0.0,0.0,69.0
18,0.0,0.0,127.0
19,0.0,0.0,340.0
20,0.0,0.0,262.0
21,0.0,0.0,672.0
22,0.0,0.0,399.0
23,0.0,0.0,1026.0
24,0.0,0.0,744.0
25,0.0,0.0,1597.0
26,0.0,0.0,992.0
27,0.0,0.0,2333.0
28,0.0,0.0,1216.0
29,0.0,0.0,2695.0
30,0.0,0.0,1574.0
31,0.0,0.0,1608.0
32,0.0,0.0,2870.0
33,0.0,0.0,1526.0
34,0.0,0.0,2987.0
35,776.0,0.0,1554.0
36,4.0,0.0,3262.0
37,23.0,0.0,1774.0
38,32.0,0.0,3909.0
39,27.0,0.0,2223.0
40,105.0,793.0,5414.0
41,113.0,7.0,2997.0
42,228.0,27.0,5109.0
43,206.0,55.0,2535.0
44,404.0,61.0,2193.0
45,250.0,169.0,5677.0
46,463.0,347.0,2554.0
47,725.0,559.0,4971.0
48,320.0,321.0,2416.0
49,639.0,686.0,4356.0
50,510.0,866.0,2225.0
51,813.0,1056.0,4558.0
52,459.0,685.0,2383.0
53,1450.0,1396.0,5215.0
54,708.0,1701.0,2600.0
55,1518.0,2036.0,5433.0
56,1236.0,993.0,3032.0
57,1651.0,2124.0,2944.0
58,1676.0,2196.0,6162.0
59,1249.0,2112.0,3087.0
60,1693.0,1115.0,6635.0
61,813.0,2311.0,3202.0
62,2183.0,2423.0,7042.0
63,866.0,1269.0,3290.0
64,1948.0,2594.0,6508.0
65,1014.0,2765.0,3153.0
66,3052.0,3010.0,6291.0
67,4144.0,1551.0,3069.0
68,2750.0,3756.0,6030.0
69,4009.0,4294.0,3087.0
70,2100.0,5901.0,2963.0
71,4170.0,2128.0,5722.0
72,2247.0,5452.0,2713.0
73,3959.0,4842.0,8690.0
74,2214.0,5711.0,2898.0
75,5387.0,2696.0,5623.0
76,4058.0,5396.0,3019.0
77,2404.0,5191.0,5879.0
78,5381.0,5181.0,2591.0
79,2225.0,2655.0,5694.0
80,5150.0,5242.0,3084.0
81,2693.0,5227.0,5757.0
82,4716.0,2724.0,2804.0
83,2389.0,5888.0,3029.0
84,6331.0,5570.0,6373.0
85,2434.0,5916.0,3039.0
86,5080.0,2913.0,6296.0
87,6048.0,5715.0,2769.0
88,2717.0,5795.0,5938.0
89,5197.0,6048.0,2644.0
90,3802.0,3023.0,5698.0
91,6007.0,5772.0,2626.0
92,2575.0,5868.0,4897.0
93,6485.0,6073.0,2153.0
94,3181.0,3040.0,3922.0
95,5742.0,5740.0,1831.0
96,6935.0,5713.0,3478.0
97,3039.0,2802.0,1578.0
98,8835.0,9027.0,1621.0
99,3744.0,5308.0,2979.0
100,6069.0,5036.0,1394.0
101,2761.0,2434.0,2709.0
102,5857.0,4837.0,1293.0
103,2644.0,4564.0,2646.0
104,4516.0,4797.0,1310.0
105,4956.0,2363.0,2424.0
106,2298.0,4886.0,1219.0
107,3840.0,4825.0,2235.0
108,1991.0,4849.0,1125.0
109,4233.0,2365.0,2190.0
110,1708.0,4285.0,1100.0
111,3686.0,3951.0,1041.0
112,2093.0,3546.0,2087.0
113,3379.0,1532.0,944.0
114,1786.0,2905.0,1911.0
115,4200.0,2723.0,967.0
116,3803.0,1275.0,1808.0
117,2044.0,2540.0,897.0
118,4644.0,2638.0,1880.0
119,2242.0,2766.0,969.0
120,4400.0,1410.0,1974.0
121,1953.0,2937.0,1148.0
122,4148.0,3045.0,2244.0
123,1531.0,3400.0,1222.0
124,3888.0,1715.0,1481.0
125,3283.0,3106.0,2781.0
126,1455.0,3194.0,1443.0
127,3388.0,2965.0,3137.0
128,1623.0,1419.0,1796.0
129,2867.0,2412.0,2957.0
130,1785.0,2378.0,1640.0
131,2997.0,2261.0,2893.0
132,1468.0,1066.0,1164.0
133,2990.0,2105.0,2335.0
134,2894.0,2096.0,1082.0
135,1318.0,1048.0,1853.0
136,2896.0,1896.0,899.0
137,1392.0,1892.0,749.0
138,2868.0,1695.0,1566.0
139,1379.0,864.0,752.0
140,3068.0,1581.0,1450.0
141,1560.0,1520.0,737.0
142,2758.0,1470.0,1605.0
143,1590.0,675.0,792.0
144,2932.0,1300.0,1610.0
145,2725.0,1331.0,863.0
146,1396.0,1279.0,2207.0
147,2693.0,626.0,1019.0
148,1060.0,1252.0,2188.0
149,2225.0,1218.0,1169.0
150,1018.0,1181.0,1087.0
151,1741.0,577.0,1819.0
152,827.0,1109.0,929.0
153,1491.0,1140.0,1602.0
154,1461.0,569.0,605.0
155,712.0,1099.0,1172.0
156,1351.0,1095.0,449.0
157,710.0,1111.0,792.0
158,1529.0,618.0,384.0
159,661.0,1101.0,700.0
160,1390.0,1134.0,345.0
161,796.0,1191.0,660.0
162,1432.0,583.0,318.0
163,1432.0,1304.0,364.0
164,785.0,1482.0,740.0
165,1497.0,1782.0,407.0
166,765.0,1054.0,804.0
167,1524.0,2317.0,432.0
168,825.0,2676.0,936.0
169,1436.0,1532.0,548.0
170,765.0,3519.0,1178.0
171,1647.0,4018.0,606.0
172,747.0,4122.0,1292.0
173,1665.0,2184.0,607.0
174,1711.0,4452.0,1216.0
175,865.0,4320.0,558.0
176,2321.0,3801.0,641.0
177,1132.0,1763.0,1109.0
178,2222.0,2806.0,485.0
179,1174.0,2098.0,957.0
180,2707.0,1652.0,9252.0
