,Red_his,Green_his,Blue_his
0,0.0,1431.0,696.0
1,0.0,120.0,71.0
2,0.0,182.0,73.0
3,0.0,224.0,111.0
4,1.0,222.0,144.0
5,0.0,289.0,178.0
6,1.0,395.0,209.0
7,4.0,464.0,276.0
8,1.0,490.0,341.0
9,3.0,592.0,396.0
10,3.0,686.0,443.0
11,3.0,763.0,543.0
12,1.0,844.0,658.0
13,5.0,885.0,645.0
14,0.0,1021.0,831.0
15,5.0,1256.0,931.0
16,6.0,1187.0,1078.0
17,2.0,1317.0,1138.0
18,3.0,1415.0,1185.0
19,5.0,1559.0,1586.0
20,1.0,1547.0,1510.0
21,5.0,1653.0,1542.0
22,2.0,1768.0,1766.0
23,7.0,1944.0,1786.0
24,4.0,1982.0,2325.0
25,5.0,1941.0,2308.0
26,2.0,1910.0,2154.0
27,4.0,2046.0,2419.0
28,8.0,2152.0,2907.0
29,7.0,2020.0,2532.0
30,9.0,2071.0,2765.0
31,7.0,2367.0,3068.0
32,5.0,2142.0,2898.0
33,8.0,2102.0,3016.0
34,8.0,2053.0,2712.0
35,3.0,2190.0,3325.0
36,6.0,2089.0,3066.0
37,9.0,2081.0,2880.0
38,11.0,1919.0,3057.0
39,13.0,2012.0,3048.0
40,14.0,1979.0,2984.0
41,19.0,1982.0,2966.0
42,23.0,1778.0,2618.0
43,31.0,1862.0,2613.0
44,39.0,1771.0,2818.0
45,47.0,1627.0,2272.0
46,58.0,1663.0,2486.0
47,70.0,1700.0,2114.0
48,94.0,1624.0,2546.0
49,95.0,1497.0,2083.0
50,118.0,1530.0,1870.0
51,142.0,1463.0,2071.0
52,208.0,1364.0,1799.0
53,184.0,1384.0,1648.0
54,265.0,1384.0,1701.0
55,269.0,1337.0,1488.0
56,360.0,1207.0,1810.0
57,409.0,1207.0,1577.0
58,413.0,1141.0,1221.0
59,509.0,1089.0,1387.0
60,609.0,1163.0,1483.0
61,661.0,1053.0,1160.0
62,703.0,1030.0,1298.0
63,842.0,1202.0,1375.0
64,891.0,1060.0,1192.0
65,943.0,946.0,1137.0
66,1029.0,939.0,1052.0
67,1069.0,1014.0,1200.0
68,1171.0,928.0,990.0
69,1241.0,894.0,957.0
70,1282.0,907.0,985.0
71,1331.0,935.0,938.0
72,1522.0,846.0,962.0
73,1516.0,846.0,977.0
