,Red_his,Green_his,Blue_his
0,7.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,1.0,0.0,0.0
42,0.0,0.0,0.0
43,1.0,0.0,0.0
44,4.0,0.0,0.0
45,1.0,0.0,0.0
46,3.0,0.0,0.0
47,3.0,0.0,0.0
48,3.0,0.0,0.0
49,1.0,0.0,0.0
50,5.0,0.0,0.0
51,0.0,0.0,0.0
52,5.0,0.0,0.0
53,6.0,0.0,0.0
54,5.0,0.0,0.0
55,5.0,0.0,0.0
56,1.0,0.0,0.0
57,5.0,0.0,0.0
58,2.0,0.0,0.0
59,7.0,0.0,0.0
60,4.0,0.0,0.0
61,5.0,0.0,0.0
62,2.0,0.0,0.0
63,4.0,0.0,0.0
64,8.0,0.0,0.0
65,7.0,0.0,0.0
66,9.0,0.0,0.0
67,7.0,0.0,0.0
68,5.0,0.0,696.0
69,8.0,0.0,71.0
70,11.0,0.0,184.0
71,6.0,0.0,322.0
72,9.0,0.0,209.0
73,11.0,0.0,617.0
74,13.0,0.0,839.0
75,14.0,0.0,543.0
76,19.0,0.0,1303.0
77,23.0,0.0,1762.0
78,31.0,0.0,1078.0
79,39.0,0.0,2323.0
80,47.0,0.0,3096.0
81,58.0,0.0,1542.0
82,70.0,0.0,3552.0
83,94.0,0.0,4633.0
84,95.0,0.0,2154.0
85,118.0,0.0,5326.0
86,142.0,1431.0,5297.0
87,392.0,120.0,3068.0
88,265.0,406.0,5914.0
89,269.0,511.0,6037.0
90,360.0,395.0,3066.0
91,409.0,954.0,5937.0
92,413.0,592.0,6032.0
93,509.0,1449.0,2966.0
94,609.0,844.0,5231.0
95,661.0,1906.0,5090.0
96,703.0,1256.0,2486.0
97,842.0,2504.0,4660.0
98,891.0,1415.0,3953.0
99,943.0,3106.0,2071.0
100,1029.0,3421.0,3447.0
101,1069.0,1944.0,3189.0
102,1171.0,3923.0,1810.0
103,1241.0,1910.0,2798.0
104,2613.0,4198.0,2870.0
105,1522.0,2020.0,1160.0
106,1516.0,4438.0,2673.0
107,1546.0,2142.0,2329.0
108,1645.0,4155.0,1052.0
109,1791.0,4279.0,2190.0
110,1726.0,2081.0,1942.0
111,1852.0,3931.0,938.0
112,1872.0,1979.0,1939.0
113,1921.0,3760.0,1654.0
114,1952.0,1862.0,879.0
115,1988.0,3398.0,1487.0
116,2130.0,1663.0,1493.0
117,2163.0,3324.0,669.0
118,2150.0,1497.0,1302.0
119,2208.0,2993.0,1211.0
120,4613.0,2748.0,574.0
121,2476.0,1384.0,1127.0
122,2470.0,2544.0,1044.0
123,2376.0,1207.0,478.0
124,2569.0,2230.0,1038.0
125,2518.0,1163.0,815.0
126,2585.0,2083.0,504.0
127,2530.0,1202.0,859.0
128,2817.0,2006.0,825.0
129,2617.0,939.0,351.0
130,2551.0,1942.0,770.0
131,2673.0,1801.0,730.0
132,2669.0,935.0,341.0
133,2468.0,1692.0,651.0
134,2603.0,772.0,648.0
135,2483.0,1636.0,304.0
136,2539.0,717.0,676.0
137,4802.0,1611.0,578.0
138,2378.0,766.0,302.0
139,2407.0,1470.0,551.0
140,2217.0,1439.0,568.0
141,2148.0,642.0,281.0
142,2049.0,1368.0,511.0
143,2177.0,688.0,534.0
144,2065.0,1312.0,263.0
145,1931.0,632.0,552.0
146,1931.0,1309.0,541.0
147,1824.0,579.0,278.0
148,1667.0,1351.0,480.0
149,1730.0,570.0,510.0
150,1546.0,1184.0,236.0
151,1699.0,1105.0,532.0
152,1639.0,557.0,541.0
153,1475.0,1087.0,286.0
154,2948.0,512.0,561.0
155,1433.0,1053.0,530.0
156,1467.0,564.0,244.0
157,1258.0,952.0,518.0
158,1487.0,497.0,515.0
159,1380.0,1038.0,263.0
160,1321.0,950.0,558.0
161,1431.0,494.0,536.0
162,1370.0,939.0,313.0
163,1346.0,470.0,600.0
164,1406.0,861.0,654.0
165,1341.0,390.0,327.0
166,1469.0,848.0,675.0
167,1436.0,424.0,629.0
168,1467.0,952.0,340.0
169,1542.0,505.0,752.0
170,3429.0,774.0,907.0
171,1802.0,778.0,457.0
172,1976.0,402.0,1076.0
173,2061.0,829.0,1202.0
174,2243.0,392.0,848.0
175,2299.0,875.0,1583.0
176,2354.0,420.0,2061.0
177,2572.0,852.0,1026.0
178,2481.0,432.0,2433.0
179,2534.0,919.0,3054.0
180,2422.0,427.0,1465.0
181,2576.0,899.0,3380.0
182,2344.0,921.0,3428.0
183,2297.0,473.0,1547.0
184,2093.0,965.0,3550.0
185,2172.0,504.0,3244.0
186,1987.0,952.0,1410.0
187,3802.0,511.0,2934.0
188,1836.0,996.0,3162.0
189,1703.0,514.0,1785.0
190,1744.0,1072.0,4690.0
191,1683.0,1028.0,3765.0
192,1713.0,572.0,8816.0
193,1558.0,1050.0,10306.0
194,1654.0,584.0,5059.0
195,1547.0,1122.0,11470.0
196,1606.0,623.0,11141.0
197,1530.0,1254.0,3089.0
198,1612.0,657.0,2997.0
199,1508.0,1400.0,1755.0
200,1557.0,829.0,719.0
201,1470.0,1636.0,955.0
202,1551.0,1984.0,347.0
203,1376.0,1030.0,57.0
204,2990.0,2284.0,39.0
205,1282.0,1427.0,3.0
206,1288.0,2829.0,0.0
207,1187.0,1671.0,0.0
208,1175.0,3559.0,0.0
209,1083.0,1888.0,0.0
210,919.0,4642.0,0.0
211,1112.0,5164.0,0.0
212,917.0,2872.0,0.0
213,831.0,5839.0,0.0
214,832.0,2993.0,0.0
215,702.0,6005.0,0.0
216,730.0,2740.0,0.0
217,720.0,4867.0,0.0
218,652.0,2248.0,0.0
219,714.0,3750.0,0.0
220,1323.0,1809.0,0.0
221,687.0,3303.0,0.0
222,690.0,3055.0,0.0
223,698.0,1395.0,0.0
224,717.0,2474.0,0.0
225,706.0,1171.0,0.0
226,741.0,2208.0,0.0
227,836.0,1090.0,0.0
228,846.0,2337.0,0.0
229,865.0,1141.0,0.0
230,882.0,2733.0,0.0
231,836.0,1670.0,0.0
232,894.0,3154.0,0.0
233,916.0,3611.0,0.0
234,1066.0,2059.0,0.0
235,1034.0,5635.0,0.0
236,1088.0,2620.0,0.0
237,2433.0,2745.0,0.0
238,1295.0,577.0,0.0
239,1313.0,831.0,0.0
240,1212.0,273.0,0.0
241,1365.0,431.0,0.0
242,1118.0,244.0,0.0
243,953.0,86.0,0.0
244,788.0,76.0,0.0
245,535.0,24.0,0.0
246,371.0,10.0,0.0
247,295.0,1.0,0.0
248,206.0,0.0,0.0
249,204.0,0.0,0.0
250,128.0,0.0,0.0
251,87.0,0.0,0.0
252,63.0,0.0,0.0
253,40.0,0.0,0.0
254,40.0,0.0,0.0
255,8.0,0.0,0.0
