,Red_his,Green_his,Blue_his
0,16447.0,72.0,720.0
1,5699.0,106.0,600.0
2,1338.0,85.0,611.0
3,845.0,112.0,645.0
4,787.0,139.0,681.0
5,754.0,155.0,707.0
6,692.0,184.0,831.0
7,714.0,195.0,928.0
8,732.0,230.0,1097.0
9,775.0,277.0,1255.0
10,785.0,316.0,1511.0
11,857.0,311.0,1655.0
12,990.0,401.0,1943.0
13,1019.0,423.0,2169.0
14,1092.0,500.0,2497.0
15,1202.0,535.0,2867.0
16,1357.0,701.0,3396.0
17,1549.0,834.0,3695.0
18,1704.0,987.0,3970.0
19,1983.0,1182.0,4096.0
20,2161.0,1205.0,4262.0
21,2401.0,1299.0,4393.0
22,2603.0,1441.0,4576.0
23,2872.0,1525.0,4678.0
24,3149.0,1680.0,4656.0
25,3221.0,1832.0,4615.0
26,3489.0,1967.0,4722.0
27,3760.0,1985.0,4687.0
28,3894.0,2050.0,4777.0
29,4098.0,2110.0,4784.0
30,4247.0,2128.0,4663.0
31,4491.0,2394.0,4730.0
32,4560.0,2352.0,4656.0
33,4635.0,2537.0,4777.0
34,4699.0,2638.0,4727.0
35,4661.0,2737.0,4560.0
36,4822.0,2957.0,4607.0
37,4843.0,2960.0,4671.0
38,4911.0,3091.0,4624.0
39,5032.0,2983.0,4528.0
40,5076.0,3138.0,4372.0
41,5014.0,3073.0,4356.0
42,5002.0,2979.0,4064.0
43,5031.0,2976.0,4073.0
44,4977.0,3076.0,3848.0
45,5042.0,3108.0,3920.0
46,5145.0,3288.0,3859.0
47,5099.0,3362.0,3822.0
48,5057.0,3317.0,3766.0
49,5017.0,3288.0,3640.0
50,4917.0,3270.0,3480.0
51,5091.0,3325.0,3425.0
52,5050.0,3436.0,3375.0
53,5124.0,3411.0,3301.0
54,5037.0,3453.0,3369.0
55,4887.0,3547.0,3360.0
56,4868.0,3366.0,3168.0
57,4674.0,3386.0,2935.0
58,4806.0,3455.0,3117.0
59,4725.0,3288.0,3179.0
60,4734.0,3359.0,3074.0
61,4648.0,3294.0,3109.0
62,4413.0,3345.0,3060.0
63,4408.0,3176.0,2840.0
64,4294.0,3211.0,2712.0
65,4293.0,3143.0,2539.0
66,4125.0,3163.0,2434.0
67,4158.0,3238.0,2295.0
68,4052.0,3284.0,2196.0
69,3930.0,3188.0,2165.0
70,3881.0,3084.0,2123.0
71,3760.0,3032.0,1977.0
72,3758.0,3131.0,2043.0
73,3765.0,3040.0,2064.0
74,3578.0,3021.0,2063.0
75,3556.0,2979.0,1920.0
76,3539.0,2969.0,1802.0
77,3474.0,3011.0,1861.0
78,3430.0,2854.0,1784.0
79,3251.0,2807.0,1741.0
80,3395.0,2743.0,1723.0
81,3277.0,2747.0,1795.0
82,3237.0,2788.0,1858.0
83,3166.0,2867.0,1815.0
84,3090.0,2795.0,1865.0
85,3085.0,2774.0,1913.0
86,3024.0,2602.0,1913.0
87,2922.0,2571.0,1763.0
88,2853.0,2675.0,1662.0
89,2832.0,2513.0,1693.0
90,2734.0,2530.0,1725.0
91,2747.0,2551.0,1854.0
92,2741.0,2699.0,1904.0
93,2719.0,2638.0,1908.0
94,2635.0,2695.0,1990.0
95,2656.0,2791.0,1890.0
96,2768.0,2732.0,1895.0
97,2610.0,2783.0,1905.0
98,2489.0,2893.0,1918.0
99,2445.0,3064.0,1930.0
100,2355.0,3049.0,1893.0
101,2356.0,3112.0,2032.0
102,2301.0,3108.0,2104.0
103,2294.0,3221.0,2073.0
104,2249.0,3307.0,2005.0
105,2166.0,3392.0,2032.0
106,2192.0,3522.0,1884.0
107,2134.0,4092.0,2047.0
108,2084.0,4393.0,2021.0
109,2178.0,4587.0,2072.0
110,2110.0,4460.0,2046.0
111,2204.0,4399.0,2028.0
112,2159.0,4465.0,2031.0
113,2182.0,4300.0,1946.0
114,2121.0,3800.0,1785.0
115,2171.0,3788.0,1825.0
116,2194.0,3484.0,1863.0
117,2218.0,3566.0,1784.0
118,2199.0,3462.0,1795.0
119,2179.0,3667.0,1739.0
120,2197.0,3499.0,1594.0
121,2391.0,3240.0,1624.0
122,2118.0,3151.0,1718.0
123,2216.0,3061.0,1767.0
124,2183.0,3142.0,1699.0
125,2153.0,2914.0,1620.0
126,2114.0,2764.0,1669.0
127,2127.0,2768.0,1795.0
128,2007.0,2731.0,1796.0
129,2149.0,2661.0,1693.0
130,2110.0,2770.0,1723.0
131,2002.0,2665.0,1846.0
132,2004.0,2588.0,1738.0
133,2067.0,2685.0,1732.0
134,2025.0,2540.0,1759.0
135,2029.0,2648.0,1816.0
136,2155.0,2450.0,1724.0
137,2162.0,2536.0,1624.0
138,2082.0,2418.0,1609.0
139,2141.0,2455.0,1605.0
140,2136.0,2476.0,1587.0
141,2064.0,2492.0,1564.0
142,2131.0,2329.0,1540.0
143,2172.0,2410.0,1470.0
144,2114.0,2403.0,1538.0
145,2075.0,2367.0,1559.0
146,2252.0,2421.0,1487.0
147,2141.0,2468.0,1575.0
148,2090.0,2312.0,1504.0
149,2168.0,2352.0,1561.0
150,2254.0,2352.0,1535.0
151,2254.0,2338.0,1524.0
152,2254.0,2251.0,1547.0
153,2434.0,2287.0,1483.0
154,2409.0,2371.0,1431.0
155,2395.0,2435.0,1535.0
156,2412.0,2347.0,1465.0
157,2441.0,2383.0,1482.0
158,2445.0,2300.0,1430.0
159,2445.0,2368.0,1413.0
160,2351.0,2260.0,1443.0
161,2237.0,2330.0,1517.0
162,2269.0,2274.0,1505.0
163,2291.0,2344.0,1424.0
164,2205.0,2361.0,1440.0
165,2194.0,2391.0,1479.0
166,2111.0,2319.0,1483.0
167,2026.0,2310.0,1476.0
168,1913.0,2302.0,1390.0
169,1908.0,2436.0,1458.0
170,1896.0,2486.0,1447.0
171,1825.0,2557.0,1464.0
172,1948.0,2616.0,1419.0
173,1963.0,2615.0,1348.0
174,1847.0,2718.0,1358.0
175,1938.0,2721.0,1412.0
176,1819.0,2661.0,1356.0
177,1962.0,2805.0,1339.0
178,1795.0,2588.0,1342.0
179,1857.0,2505.0,1392.0
180,1725.0,2492.0,1384.0
181,1769.0,2403.0,1391.0
182,1734.0,2432.0,1461.0
183,1705.0,2554.0,1333.0
184,1561.0,2415.0,1416.0
185,1638.0,2413.0,1428.0
186,1599.0,2382.0,1363.0
187,1598.0,2419.0,1419.0
188,1511.0,2443.0,1343.0
189,1478.0,2350.0,1416.0
190,1488.0,2266.0,1410.0
191,1508.0,2235.0,1398.0
192,1414.0,2171.0,1431.0
193,1389.0,2224.0,1337.0
194,1341.0,2283.0,1347.0
195,1431.0,2365.0,1375.0
196,1398.0,2341.0,1348.0
197,1379.0,2440.0,1427.0
198,1323.0,2396.0,1343.0
199,1377.0,2444.0,1336.0
200,1360.0,2370.0,1312.0
201,1289.0,2325.0,1379.0
202,1243.0,2092.0,1381.0
203,1233.0,2189.0,1343.0
204,1374.0,2089.0,1409.0
205,1494.0,2111.0,1385.0
206,1595.0,1970.0,1418.0
207,1539.0,1988.0,1359.0
208,1557.0,1899.0,1371.0
209,1610.0,1830.0,1420.0
210,1280.0,1895.0,1496.0
211,1797.0,1932.0,1427.0
212,1662.0,1857.0,1507.0
213,1634.0,1974.0,1534.0
214,1709.0,1877.0,1506.0
215,1721.0,1829.0,1575.0
216,1017.0,1871.0,1626.0
217,931.0,1887.0,1577.0
218,782.0,1695.0,1630.0
219,944.0,1748.0,1742.0
220,545.0,1640.0,1722.0
221,399.0,1464.0,1718.0
222,464.0,1482.0,1759.0
223,328.0,1462.0,1676.0
224,185.0,1458.0,1727.0
225,823.0,1454.0,1600.0
226,294.0,1388.0,1757.0
227,282.0,1469.0,1778.0
228,81.0,1558.0,1894.0
229,50.0,1578.0,1921.0
230,41.0,1814.0,1950.0
231,40.0,2018.0,2076.0
232,23.0,1687.0,2112.0
233,17.0,1700.0,2138.0
234,32.0,2098.0,2028.0
235,20.0,1907.0,2042.0
236,26.0,1410.0,1846.0
237,27.0,1105.0,1988.0
238,27.0,2909.0,2539.0
239,19.0,1154.0,2435.0
240,23.0,1060.0,2169.0
241,15.0,2517.0,2552.0
242,11.0,1748.0,2711.0
243,2.0,906.0,2909.0
244,7.0,501.0,2846.0
245,2.0,1138.0,3091.0
246,0.0,127.0,2501.0
247,1.0,80.0,2383.0
248,0.0,102.0,2831.0
249,3.0,87.0,3684.0
250,0.0,39.0,3289.0
251,0.0,7.0,2683.0
252,0.0,2.0,2598.0
253,0.0,0.0,4108.0
254,0.0,0.0,12241.0
255,0.0,0.0,25824.0
