,Red_his,Green_his,Blue_his
0,12.0,5.0,4532.0
1,28.0,29.0,6872.0
2,89.0,107.0,8127.0
3,346.0,445.0,9715.0
4,1139.0,1560.0,12153.0
5,2975.0,4103.0,14881.0
6,6747.0,8342.0,16283.0
7,6658.0,8123.0,15562.0
8,7040.0,9282.0,13987.0
9,8181.0,10750.0,11038.0
10,10431.0,11952.0,8098.0
11,9695.0,10475.0,6587.0
12,10349.0,9565.0,5497.0
13,11344.0,11304.0,4478.0
14,11924.0,10763.0,4303.0
15,10150.0,10373.0,4305.0
16,9605.0,8700.0,4543.0
17,8664.0,6787.0,4542.0
18,7064.0,5524.0,4858.0
19,6415.0,5260.0,4834.0
20,5175.0,5147.0,4131.0
21,3908.0,4774.0,3208.0
22,3338.0,4659.0,2524.0
23,3259.0,4303.0,1919.0
24,3335.0,3816.0,1636.0
25,3278.0,3527.0,1407.0
26,3234.0,3139.0,1281.0
27,2962.0,2667.0,1122.0
28,2729.0,2246.0,1057.0
29,2325.0,1882.0,951.0
30,2162.0,1711.0,902.0
31,1921.0,1554.0,897.0
32,1692.0,1510.0,849.0
33,1661.0,1345.0,843.0
34,1416.0,1110.0,884.0
35,1227.0,1008.0,933.0
36,1093.0,1039.0,966.0
37,1037.0,945.0,999.0
38,975.0,962.0,950.0
39,832.0,914.0,1120.0
40,821.0,930.0,1093.0
41,742.0,898.0,1058.0
42,729.0,876.0,1072.0
43,736.0,862.0,1052.0
44,651.0,857.0,1154.0
45,663.0,910.0,1118.0
46,725.0,910.0,1127.0
47,779.0,1035.0,1204.0
48,716.0,991.0,1150.0
49,779.0,1076.0,1152.0
50,783.0,1049.0,986.0
51,762.0,1046.0,934.0
52,747.0,1001.0,893.0
53,785.0,905.0,867.0
54,826.0,837.0,797.0
55,746.0,779.0,801.0
56,685.0,798.0,709.0
57,684.0,697.0,747.0
58,672.0,759.0,664.0
59,664.0,671.0,693.0
60,633.0,673.0,640.0
61,675.0,683.0,626.0
62,631.0,633.0,610.0
63,657.0,707.0,600.0
64,687.0,672.0,627.0
65,694.0,653.0,621.0
66,701.0,691.0,613.0
67,675.0,665.0,613.0
68,690.0,738.0,616.0
69,652.0,724.0,704.0
70,719.0,744.0,667.0
71,748.0,794.0,699.0
72,793.0,834.0,806.0
73,785.0,818.0,791.0
74,756.0,844.0,816.0
75,823.0,801.0,940.0
76,867.0,944.0,926.0
77,761.0,994.0,911.0
78,776.0,1068.0,946.0
79,748.0,991.0,923.0
80,797.0,1025.0,1008.0
81,795.0,1074.0,1051.0
82,861.0,1112.0,1014.0
83,862.0,1053.0,1022.0
84,892.0,961.0,1022.0
85,943.0,975.0,1080.0
86,863.0,1003.0,1113.0
87,810.0,996.0,1215.0
88,828.0,995.0,1210.0
89,862.0,958.0,1236.0
90,881.0,988.0,1305.0
91,924.0,936.0,1489.0
92,920.0,957.0,1534.0
93,857.0,971.0,1644.0
94,874.0,1007.0,1514.0
95,868.0,1128.0,1536.0
