,Red_his,Green_his,Blue_his
0,463.0,0.0,0.0
1,1139.0,0.0,0.0
2,2975.0,5.0,0.0
3,6747.0,29.0,0.0
4,6658.0,107.0,0.0
5,7040.0,445.0,0.0
6,8181.0,5663.0,0.0
7,10431.0,8342.0,0.0
8,9695.0,8123.0,4532.0
9,10349.0,9282.0,14999.0
10,11344.0,22702.0,9715.0
11,11924.0,10475.0,27034.0
12,10150.0,9565.0,16283.0
13,9605.0,11304.0,29549.0
14,8664.0,10763.0,11038.0
15,7064.0,19073.0,14685.0
16,6415.0,6787.0,5497.0
17,9083.0,5524.0,8781.0
18,3338.0,5260.0,4305.0
19,3259.0,9921.0,9085.0
20,3335.0,4659.0,4858.0
21,3278.0,4303.0,8965.0
22,3234.0,3816.0,3208.0
23,2962.0,3527.0,2524.0
24,2729.0,5806.0,3555.0
25,2325.0,2246.0,1407.0
26,2162.0,1882.0,2403.0
27,1921.0,1711.0,1057.0
28,1692.0,3064.0,1853.0
29,1661.0,1345.0,897.0
30,1416.0,1110.0,1692.0
31,1227.0,1008.0,884.0
32,1093.0,1039.0,1899.0
33,1037.0,1907.0,999.0
34,975.0,914.0,2070.0
35,1653.0,930.0,1093.0
36,742.0,898.0,2130.0
37,729.0,876.0,1052.0
38,736.0,1719.0,1154.0
39,651.0,910.0,2245.0
40,663.0,910.0,1204.0
41,725.0,1035.0,2302.0
42,779.0,2067.0,986.0
43,716.0,1049.0,1827.0
44,779.0,1046.0,867.0
45,783.0,1001.0,1598.0
46,762.0,905.0,709.0
47,747.0,1616.0,1411.0
48,785.0,798.0,693.0
49,826.0,697.0,1266.0
50,746.0,759.0,610.0
51,685.0,1344.0,1227.0
52,1356.0,683.0,621.0
53,664.0,633.0,613.0
54,633.0,707.0,1229.0
55,675.0,672.0,704.0
56,631.0,1344.0,1366.0
57,657.0,665.0,806.0
58,687.0,738.0,1607.0
59,694.0,724.0,940.0
60,701.0,1538.0,1837.0
61,675.0,834.0,946.0
62,690.0,818.0,1931.0
63,652.0,844.0,1051.0
64,719.0,801.0,2036.0
65,748.0,1938.0,1022.0
66,793.0,1068.0,2193.0
67,785.0,991.0,1215.0
68,756.0,1025.0,1210.0
69,823.0,2186.0,2541.0
70,1628.0,1053.0,1489.0
71,776.0,961.0,3178.0
72,748.0,975.0,1514.0
73,797.0,1003.0,2917.0
74,795.0,1991.0,1381.0
75,861.0,958.0,2961.0
76,862.0,988.0,1579.0
77,892.0,936.0,3042.0
78,943.0,957.0,1702.0
79,863.0,1978.0,3689.0
80,810.0,1128.0,2101.0
81,828.0,1112.0,4428.0
82,862.0,1196.0,2233.0
83,881.0,2232.0,2209.0
84,924.0,1071.0,4163.0
85,920.0,1155.0,2216.0
86,857.0,1147.0,5092.0
87,1742.0,1143.0,2968.0
88,877.0,2322.0,5663.0
89,901.0,1159.0,2727.0
90,925.0,1159.0,4867.0
91,946.0,1097.0,2416.0
92,913.0,2469.0,4513.0
93,956.0,1168.0,2267.0
94,907.0,1272.0,4575.0
95,939.0,1374.0,2420.0
96,967.0,1294.0,5377.0
97,952.0,2881.0,2968.0
98,1025.0,1608.0,6361.0
99,1085.0,1659.0,3253.0
100,1121.0,1814.0,3180.0
101,1166.0,3670.0,6110.0
102,1260.0,1908.0,3410.0
103,1255.0,1973.0,6990.0
104,1258.0,2054.0,3540.0
105,2669.0,2198.0,7572.0
106,1386.0,4338.0,4209.0
107,1386.0,2227.0,8989.0
108,1408.0,2288.0,4708.0
109,1484.0,2454.0,9758.0
110,1557.0,5228.0,5112.0
111,1645.0,2526.0,10046.0
112,1678.0,2539.0,4904.0
113,1865.0,2740.0,9675.0
114,2011.0,2807.0,5072.0
115,1972.0,5511.0,4906.0
116,1973.0,2843.0,9648.0
117,2032.0,2817.0,4791.0
118,2182.0,2943.0,10065.0
119,2299.0,2880.0,5036.0
120,2340.0,5860.0,10937.0
121,2523.0,2795.0,5576.0
122,5276.0,2819.0,11625.0
123,2634.0,2833.0,6047.0
124,2384.0,6116.0,13095.0
125,2475.0,3424.0,7084.0
126,2350.0,3674.0,13895.0
127,2505.0,3785.0,6085.0
128,2478.0,3921.0,11800.0
129,2530.0,7659.0,6148.0
