,Red_his,Green_his,Blue_his
0,1.0,11.0,55.0
1,5.0,17.0,64.0
2,15.0,22.0,86.0
3,21.0,47.0,187.0
4,54.0,90.0,347.0
5,141.0,206.0,643.0
6,289.0,324.0,1066.0
7,537.0,591.0,1645.0
8,805.0,906.0,2478.0
9,1174.0,1365.0,3540.0
10,1498.0,1755.0,4724.0
11,2075.0,2345.0,5642.0
12,2758.0,3206.0,6616.0
13,3518.0,4004.0,7427.0
14,4084.0,4807.0,7941.0
15,4533.0,5252.0,8693.0
16,4824.0,5845.0,8948.0
17,5249.0,6318.0,9322.0
18,5754.0,6720.0,9676.0
19,6039.0,7091.0,9909.0
20,6394.0,7585.0,9928.0
21,6413.0,7337.0,9733.0
22,6308.0,7592.0,9716.0
23,6528.0,7836.0,9557.0
24,6672.0,8044.0,9205.0
25,6787.0,8459.0,9115.0
26,6804.0,8498.0,8686.0
27,6996.0,8470.0,7913.0
28,6742.0,8559.0,7580.0
29,6612.0,8292.0,7096.0
30,6639.0,7950.0,6405.0
31,6516.0,7742.0,5918.0
32,6547.0,7383.0,5576.0
33,6697.0,7127.0,5251.0
34,6532.0,6870.0,4776.0
35,6548.0,6739.0,4538.0
36,6542.0,6506.0,4239.0
37,6404.0,6425.0,4084.0
38,6313.0,6204.0,3885.0
39,6276.0,5940.0,3747.0
40,5977.0,5720.0,3506.0
41,6049.0,5557.0,3568.0
42,5715.0,5385.0,3268.0
43,5412.0,5163.0,3078.0
44,5177.0,5019.0,2981.0
45,4762.0,4658.0,2862.0
46,4415.0,4471.0,2843.0
47,4144.0,4115.0,2694.0
48,3772.0,3910.0,2661.0
49,3625.0,3692.0,2634.0
50,3377.0,3463.0,2698.0
51,3240.0,3174.0,2635.0
52,3124.0,3031.0,2517.0
53,2960.0,2847.0,2640.0
54,2848.0,2760.0,2522.0
55,2793.0,2774.0,2585.0
56,2753.0,2708.0,2614.0
57,2784.0,2639.0,2908.0
58,2654.0,2682.0,2703.0
59,2652.0,2582.0,2812.0
60,2600.0,2543.0,2816.0
61,2533.0,2473.0,2846.0
62,2560.0,2467.0,2941.0
63,2418.0,2505.0,3045.0
64,2608.0,2601.0,3132.0
65,2583.0,2640.0,3268.0
66,2517.0,2607.0,3126.0
67,2508.0,2742.0,3196.0
68,2633.0,2712.0,3286.0
69,2609.0,2708.0,3268.0
70,2520.0,2666.0,3580.0
