,Red_his,Green_his,Blue_his
0,0.0,2.0,5.0
1,0.0,16.0,16.0
2,0.0,22.0,19.0
3,0.0,17.0,23.0
4,0.0,10.0,19.0
5,0.0,21.0,25.0
6,1.0,22.0,23.0
7,2.0,16.0,15.0
8,1.0,26.0,31.0
9,4.0,29.0,33.0
10,5.0,23.0,35.0
11,13.0,23.0,26.0
12,14.0,29.0,21.0
13,8.0,24.0,24.0
14,16.0,19.0,26.0
15,10.0,14.0,27.0
16,13.0,23.0,25.0
17,22.0,25.0,23.0
18,22.0,19.0,35.0
19,21.0,26.0,36.0
20,20.0,24.0,39.0
21,14.0,31.0,43.0
22,17.0,36.0,35.0
23,20.0,34.0,37.0
24,22.0,42.0,47.0
25,23.0,31.0,52.0
26,15.0,28.0,42.0
27,16.0,48.0,40.0
28,15.0,42.0,51.0
29,37.0,47.0,66.0
30,16.0,51.0,53.0
31,23.0,51.0,52.0
32,27.0,48.0,46.0
33,20.0,49.0,47.0
34,24.0,45.0,44.0
35,37.0,55.0,51.0
36,27.0,55.0,71.0
37,36.0,59.0,66.0
38,48.0,69.0,62.0
39,37.0,70.0,92.0
40,40.0,75.0,92.0
41,40.0,72.0,71.0
42,43.0,93.0,95.0
43,39.0,100.0,127.0
44,36.0,101.0,125.0
45,48.0,115.0,149.0
46,48.0,120.0,147.0
47,52.0,148.0,167.0
48,51.0,155.0,159.0
49,65.0,165.0,216.0
50,63.0,173.0,187.0
51,81.0,219.0,233.0
52,75.0,233.0,263.0
53,75.0,247.0,290.0
54,103.0,356.0,309.0
55,97.0,428.0,369.0
56,105.0,598.0,494.0
57,119.0,766.0,674.0
58,134.0,1004.0,771.0
59,147.0,1352.0,1024.0
60,163.0,1710.0,1414.0
61,189.0,2142.0,1792.0
62,267.0,2998.0,2505.0
63,420.0,3379.0,3324.0
64,606.0,4028.0,3402.0
65,794.0,4048.0,3811.0
66,855.0,4022.0,3662.0
67,1105.0,4060.0,3402.0
68,1305.0,4204.0,3293.0
69,1652.0,4296.0,3423.0
70,2017.0,4291.0,3950.0
71,2336.0,4403.0,3960.0
72,2870.0,5122.0,4038.0
73,2680.0,5039.0,4154.0
74,2895.0,4606.0,4198.0
75,3176.0,4161.0,4535.0
76,3713.0,3321.0,4693.0
77,3830.0,3335.0,4998.0
78,3908.0,3473.0,5604.0
79,3658.0,3419.0,5563.0
80,3338.0,3735.0,5679.0
81,3356.0,3750.0,5432.0
82,3245.0,3662.0,4741.0
83,3533.0,3670.0,4512.0
84,3401.0,3540.0,4584.0
85,3661.0,3508.0,4546.0
86,3824.0,3287.0,4488.0
87,3683.0,3206.0,4070.0
88,3750.0,2909.0,3975.0
89,3361.0,2999.0,4004.0
90,3129.0,3312.0,3564.0
91,2812.0,3766.0,3411.0
92,2949.0,4736.0,3676.0
93,2843.0,5782.0,3885.0
94,2880.0,6543.0,3785.0
95,3259.0,7271.0,4241.0
96,4012.0,8658.0,4868.0
97,4556.0,9203.0,5924.0
98,4845.0,10541.0,7455.0
99,5423.0,10741.0,8439.0
100,5801.0,10211.0,10440.0
101,6180.0,8972.0,12545.0
102,6797.0,9159.0,15146.0
103,8105.0,9714.0,17666.0
104,8407.0,10347.0,18883.0
105,7434.0,11304.0,19821.0
106,6773.0,12388.0,19672.0
107,6701.0,13177.0,19475.0
108,7442.0,12645.0,18470.0
109,8444.0,13275.0,17564.0
110,9053.0,13852.0,16589.0
111,10263.0,13233.0,15761.0
112,12175.0,13118.0,14645.0
