,Red_his,Green_his,Blue_his
0,183.0,1297.0,2912.0
1,207.0,1022.0,2044.0
2,247.0,1579.0,1438.0
3,384.0,4397.0,2676.0
4,1654.0,16650.0,15454.0
5,4010.0,44236.0,29002.0
6,7844.0,35236.0,36723.0
7,13356.0,26098.0,42805.0
8,17244.0,22228.0,33590.0
9,24517.0,23595.0,22338.0
10,21333.0,20187.0,16788.0
11,21316.0,13583.0,14542.0
12,11914.0,9899.0,12130.0
13,9601.0,6976.0,9971.0
14,9586.0,5125.0,8332.0
15,9486.0,4040.0,6770.0
16,11317.0,3550.0,6188.0
17,14764.0,3346.0,6274.0
18,12276.0,3263.0,6353.0
19,10597.0,3242.0,6708.0
20,10096.0,3363.0,6979.0
21,9132.0,3636.0,7197.0
22,8380.0,4065.0,7013.0
23,6941.0,4292.0,6941.0
24,7023.0,4971.0,6723.0
25,6919.0,5732.0,6367.0
26,6009.0,6081.0,5569.0
27,5805.0,6413.0,4936.0
28,5598.0,6466.0,4314.0
29,5663.0,6173.0,3773.0
30,5806.0,5952.0,3202.0
31,5931.0,5267.0,2751.0
32,5832.0,4819.0,2517.0
33,5852.0,3984.0,2288.0
34,5550.0,3365.0,2106.0
35,5367.0,2864.0,2005.0
36,4808.0,2283.0,1853.0
37,4450.0,1906.0,1881.0
38,3811.0,1600.0,1679.0
39,3296.0,1491.0,1622.0
40,3048.0,1432.0,1610.0
41,2535.0,1409.0,1548.0
42,2152.0,1363.0,1493.0
43,1939.0,1347.0,1430.0
44,1828.0,1281.0,1381.0
45,1697.0,1286.0,1476.0
46,1507.0,1208.0,1397.0
47,1411.0,1159.0,1270.0
48,1384.0,1235.0,1265.0
49,1375.0,1174.0,1325.0
50,1321.0,1113.0,1406.0
51,1190.0,966.0,1326.0
52,1108.0,869.0,1317.0
53,1061.0,797.0,1329.0
54,1023.0,743.0,1312.0
55,882.0,663.0,1254.0
56,871.0,650.0,1331.0
57,799.0,518.0,1341.0
58,712.0,461.0,1447.0
59,642.0,372.0,1452.0
60,714.0,382.0,1516.0
61,859.0,275.0,1612.0
62,1498.0,244.0,1593.0
63,2382.0,237.0,1498.0
64,2947.0,203.0,1581.0
65,3117.0,158.0,1634.0
66,3452.0,176.0,1759.0
67,4009.0,139.0,1930.0
68,3994.0,126.0,2012.0
69,4857.0,126.0,1960.0
70,5574.0,107.0,1946.0
71,4573.0,95.0,1708.0
72,5709.0,86.0,1788.0
73,8658.0,96.0,1920.0
74,11886.0,95.0,1879.0
75,12206.0,109.0,1774.0
76,9538.0,137.0,1958.0
77,6741.0,143.0,1988.0
78,5187.0,200.0,2174.0
79,5652.0,225.0,2417.0
80,5062.0,266.0,2837.0
81,4178.0,329.0,3452.0
82,3558.0,397.0,3928.0
83,2923.0,427.0,4170.0
84,2717.0,471.0,4668.0
85,3005.0,536.0,4320.0
86,3349.0,626.0,3455.0
87,3354.0,672.0,2875.0
88,3760.0,790.0,2503.0
89,4721.0,887.0,2369.0
90,6305.0,1044.0,2241.0
91,7258.0,1248.0,2199.0
92,7024.0,1647.0,2311.0
93,5337.0,2540.0,2520.0
94,4331.0,3345.0,2309.0
95,3716.0,3588.0,2259.0
96,3951.0,4325.0,2172.0
97,3827.0,4946.0,2127.0
98,3658.0,5300.0,1932.0
99,3455.0,5560.0,1882.0
100,2994.0,5400.0,1751.0
101,2571.0,6604.0,1685.0
102,2487.0,7864.0,1679.0
103,2313.0,9200.0,1728.0
104,2397.0,12230.0,1838.0
105,2226.0,15480.0,1792.0
106,2267.0,16627.0,1723.0
107,2007.0,19108.0,1681.0
108,2034.0,18272.0,1588.0
109,1896.0,17623.0,1408.0
110,1905.0,13787.0,1306.0
111,1776.0,11824.0,1140.0
112,1797.0,12346.0,1345.0
113,1787.0,13026.0,1719.0
114,1912.0,11813.0,1851.0
115,2281.0,11022.0,2107.0
116,2641.0,10878.0,1956.0
117,2957.0,9582.0,1832.0
118,3268.0,9004.0,1774.0
119,3796.0,8426.0,1676.0
120,4104.0,8764.0,1688.0
121,4177.0,9041.0,1701.0
122,4200.0,9334.0,1625.0
123,4322.0,9383.0,1834.0
124,4457.0,9019.0,1833.0
125,4559.0,8464.0,1913.0
126,4211.0,8479.0,2279.0
127,3667.0,8009.0,2649.0
128,3691.0,7745.0,2678.0
129,3249.0,7612.0,2700.0
130,2758.0,7294.0,2680.0
131,2447.0,6485.0,2528.0
132,2117.0,6075.0,2484.0
133,1997.0,5640.0,2576.0
134,1896.0,4946.0,2267.0
135,1912.0,4194.0,2254.0
136,1886.0,3658.0,2305.0
137,2060.0,3543.0,2516.0
138,2161.0,2986.0,2794.0
139,2309.0,2607.0,2889.0
140,2310.0,2306.0,2582.0
141,2252.0,1967.0,2859.0
142,2176.0,1640.0,3273.0
143,2059.0,1455.0,2892.0
144,1967.0,1166.0,2979.0
145,2062.0,929.0,2909.0
146,2007.0,845.0,3148.0
147,1761.0,858.0,3955.0
148,1559.0,648.0,4125.0
149,1276.0,492.0,3919.0
150,1039.0,390.0,3406.0
151,848.0,306.0,3653.0
152,845.0,259.0,4179.0
153,871.0,192.0,5337.0
154,842.0,179.0,5175.0
155,901.0,142.0,4608.0
156,907.0,118.0,4686.0
157,919.0,118.0,6405.0
158,960.0,139.0,6517.0
159,931.0,97.0,4914.0
160,945.0,93.0,5204.0
161,918.0,111.0,6221.0
162,883.0,96.0,6507.0
163,964.0,87.0,6391.0
164,1075.0,90.0,6276.0
165,1099.0,84.0,6014.0
166,1223.0,53.0,6711.0
167,1231.0,59.0,5391.0
168,1398.0,55.0,4350.0
169,1645.0,38.0,4166.0
170,1904.0,31.0,4091.0
171,2063.0,35.0,4559.0
172,2291.0,22.0,5263.0
173,2751.0,30.0,5994.0
174,3097.0,26.0,5310.0
175,3478.0,14.0,5307.0
176,4062.0,16.0,4665.0
177,4667.0,21.0,4140.0
178,4918.0,12.0,4446.0
179,5083.0,21.0,4721.0
180,5191.0,16.0,4530.0
181,5987.0,19.0,4510.0
182,6980.0,13.0,4713.0
183,6714.0,14.0,4161.0
184,6275.0,12.0,4093.0
185,5411.0,12.0,3167.0
186,4312.0,7.0,2065.0
187,4031.0,5.0,1581.0
188,3264.0,18.0,1020.0
189,2423.0,12.0,688.0
190,1819.0,11.0,509.0
191,1345.0,7.0,401.0
192,1080.0,19.0,348.0
193,963.0,12.0,294.0
194,785.0,15.0,225.0
195,765.0,23.0,176.0
196,680.0,30.0,157.0
197,640.0,24.0,132.0
198,419.0,37.0,157.0
199,294.0,24.0,138.0
200,197.0,16.0,117.0
201,178.0,23.0,92.0
202,119.0,33.0,79.0
203,350.0,236.0,209.0
204,132.0,89.0,52.0
205,98.0,76.0,41.0
206,118.0,73.0,33.0
207,92.0,73.0,28.0
208,102.0,80.0,13.0
