,Red_his,Green_his,Blue_his
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,1297.0,0.0
77,0.0,2601.0,0.0
78,0.0,4397.0,0.0
79,0.0,16650.0,0.0
80,0.0,79472.0,0.0
81,0.0,26098.0,0.0
82,0.0,22228.0,0.0
83,0.0,43782.0,0.0
84,0.0,13583.0,0.0
85,0.0,9899.0,0.0
86,0.0,12101.0,2912.0
87,0.0,4040.0,3482.0
88,0.0,3550.0,47132.0
89,183.0,6609.0,79528.0
90,207.0,3242.0,72716.0
91,631.0,3363.0,26672.0
92,1654.0,7701.0,18303.0
93,4010.0,4292.0,19232.0
94,21200.0,4971.0,13061.0
95,17244.0,11813.0,21189.0
96,24517.0,6413.0,13664.0
97,42649.0,6466.0,16872.0
98,11914.0,12125.0,8087.0
99,9601.0,5267.0,5953.0
100,19072.0,4819.0,6911.0
101,11317.0,7349.0,3858.0
102,27040.0,2864.0,5182.0
103,10597.0,2283.0,3158.0
104,10096.0,3506.0,4304.0
105,17512.0,1491.0,2873.0
106,6941.0,1432.0,2535.0
107,7023.0,2772.0,4057.0
108,12928.0,1347.0,2646.0
109,5805.0,1281.0,3897.0
110,5598.0,2494.0,2788.0
111,11469.0,1159.0,2968.0
112,5931.0,1235.0,4703.0
113,5832.0,2287.0,3215.0
114,11402.0,966.0,5701.0
115,5367.0,869.0,3906.0
116,4808.0,1540.0,5416.0
117,8261.0,663.0,3653.0
118,3296.0,650.0,3946.0
119,5583.0,979.0,7428.0
120,2152.0,372.0,7380.0
121,1939.0,382.0,13158.0
122,3525.0,519.0,6330.0
123,1507.0,237.0,7113.0
124,1411.0,203.0,4510.0
125,2759.0,334.0,4829.0
126,1321.0,139.0,6558.0
127,1190.0,126.0,3814.0
128,2169.0,233.0,5115.0
129,1023.0,95.0,3566.0
130,882.0,86.0,5196.0
131,1670.0,191.0,2996.0
132,712.0,109.0,2446.0
133,642.0,280.0,4915.0
134,1573.0,200.0,4063.0
135,1498.0,225.0,5282.0
136,5329.0,595.0,3389.0
137,3117.0,397.0,3459.0
138,3452.0,427.0,6025.0
139,8003.0,1007.0,5327.0
140,4857.0,626.0,7908.0
141,5574.0,672.0,5060.0
142,10282.0,1677.0,6826.0
143,8658.0,1044.0,5310.0
144,11886.0,1248.0,5471.0
145,21744.0,4187.0,9024.0
146,6741.0,3345.0,5888.0
147,5187.0,3588.0,11228.0
148,10714.0,9271.0,7325.0
149,4178.0,5300.0,13169.0
150,3558.0,5560.0,9783.0
151,5640.0,12004.0,11091.0
152,3005.0,7864.0,16635.0
153,6703.0,9200.0,12728.0
154,3760.0,27710.0,18681.0
155,4721.0,16627.0,12102.0
156,13563.0,19108.0,12607.0
157,7024.0,35895.0,9822.0
158,5337.0,13787.0,11304.0
159,8047.0,11824.0,14112.0
160,3951.0,25372.0,9167.0
161,3827.0,11813.0,13753.0
162,7113.0,11022.0,8254.0
163,2994.0,20460.0,5232.0
164,2571.0,9004.0,3289.0
165,4800.0,8426.0,910.0
166,2397.0,17805.0,867.0
167,2226.0,9334.0,333.0
168,4274.0,9383.0,427.0
169,2034.0,17483.0,209.0
170,3801.0,8479.0,288.0
171,1776.0,8009.0,126.0
172,1797.0,15357.0,41.0
173,3699.0,7294.0,32.0
174,2281.0,6485.0,6.0
175,2641.0,11715.0,5.0
176,6225.0,4946.0,0.0
177,3796.0,4194.0,0.0
178,4104.0,7201.0,0.0
179,8377.0,2986.0,0.0
180,4322.0,2607.0,0.0
181,4457.0,4273.0,0.0
182,8770.0,1640.0,0.0
183,3667.0,1455.0,0.0
184,3691.0,2095.0,0.0
185,6007.0,845.0,0.0
186,2447.0,858.0,0.0
187,2117.0,1140.0,0.0
188,3893.0,390.0,0.0
