,Red_his,Green_his,Blue_his
0,4464.0,8501.0,14575.0
1,1434.0,1389.0,2583.0
2,1552.0,1596.0,2770.0
3,1761.0,1613.0,2711.0
4,1875.0,1663.0,2663.0
5,1841.0,1843.0,2698.0
6,1882.0,1951.0,2658.0
7,1953.0,2099.0,2568.0
8,1989.0,2194.0,2506.0
9,2003.0,2523.0,2454.0
10,2066.0,2636.0,2280.0
11,2037.0,2653.0,2444.0
12,2045.0,2832.0,2309.0
13,1953.0,2986.0,2203.0
14,1901.0,3059.0,2183.0
15,1845.0,3143.0,2155.0
16,1845.0,3156.0,2069.0
17,1820.0,3194.0,2031.0
18,1803.0,3161.0,1939.0
19,1836.0,3268.0,1914.0
20,1720.0,3208.0,1929.0
21,1836.0,3294.0,1797.0
22,1648.0,3152.0,1804.0
23,1706.0,3282.0,1807.0
24,1671.0,3248.0,1689.0
25,1567.0,3335.0,1701.0
26,1542.0,3255.0,1632.0
27,1468.0,3360.0,1680.0
28,1477.0,3220.0,1619.0
29,1474.0,3184.0,1551.0
30,1548.0,3203.0,1601.0
31,1409.0,3228.0,1542.0
32,1469.0,3181.0,1541.0
33,1388.0,3104.0,1446.0
34,1468.0,3121.0,1605.0
35,1487.0,2965.0,1515.0
36,1418.0,3031.0,1536.0
37,1386.0,2980.0,1499.0
38,1422.0,3007.0,1496.0
39,1461.0,2898.0,1507.0
40,1415.0,2789.0,1543.0
41,1397.0,2700.0,1515.0
42,1429.0,2750.0,1503.0
43,1436.0,2747.0,1530.0
44,1429.0,2713.0,1494.0
45,1429.0,2719.0,1491.0
46,1469.0,2663.0,1507.0
47,1431.0,2701.0,1469.0
48,1447.0,2638.0,1531.0
49,1409.0,2519.0,1494.0
50,1404.0,2505.0,1464.0
51,1441.0,2421.0,1509.0
52,1430.0,2432.0,1481.0
53,1392.0,2440.0,1508.0
54,1454.0,2360.0,1513.0
55,1499.0,2328.0,1462.0
56,1451.0,2275.0,1485.0
57,1506.0,2280.0,1449.0
58,1477.0,2292.0,1446.0
59,1429.0,2150.0,1470.0
60,1530.0,2119.0,1486.0
61,1506.0,2108.0,1516.0
62,1505.0,1954.0,1487.0
63,1476.0,1998.0,1498.0
64,1502.0,2004.0,1393.0
65,1486.0,1989.0,1413.0
66,1566.0,1891.0,1445.0
67,1608.0,1829.0,1483.0
68,1580.0,1820.0,1433.0
69,1622.0,1740.0,1436.0
70,1558.0,1764.0,1403.0
71,1621.0,1703.0,1426.0
72,1553.0,1686.0,1379.0
73,1573.0,1621.0,1413.0
74,1533.0,1534.0,1444.0
75,1642.0,1653.0,1368.0
76,1515.0,1553.0,1386.0
77,1623.0,1482.0,1364.0
78,1567.0,1394.0,1411.0
79,1567.0,1353.0,1373.0
80,1490.0,1443.0,1363.0
81,1600.0,1280.0,1410.0
82,1575.0,1262.0,1491.0
83,1608.0,1271.0,1295.0
84,1569.0,1264.0,1354.0
85,1657.0,1197.0,1313.0
86,1642.0,1177.0,1381.0
87,1589.0,1165.0,1313.0
88,1579.0,1152.0,1307.0
89,1635.0,1083.0,1369.0
90,1558.0,1042.0,1300.0
91,1499.0,1042.0,1317.0
92,1530.0,1046.0,1308.0
93,1527.0,941.0,1293.0
94,1525.0,896.0,1210.0
95,1594.0,900.0,1264.0
96,1533.0,917.0,1289.0
97,1565.0,882.0,1309.0
98,1547.0,907.0,1253.0
99,1523.0,835.0,1319.0
100,1511.0,826.0,1280.0
101,1522.0,798.0,1286.0
102,1483.0,794.0,1251.0
103,1415.0,809.0,1262.0
104,1445.0,775.0,1298.0
105,1460.0,775.0,1252.0
106,1457.0,734.0,1254.0
107,1386.0,746.0,1184.0
108,1527.0,701.0,1205.0
109,1355.0,697.0,1269.0
110,1397.0,701.0,1239.0
111,1384.0,674.0,1212.0
112,1380.0,648.0,1220.0
113,1380.0,630.0,1252.0
114,1339.0,677.0,1214.0
115,1352.0,644.0,1216.0
116,1434.0,623.0,1214.0
117,1347.0,606.0,1213.0
118,1286.0,630.0,1196.0
119,1397.0,615.0,1170.0
120,1293.0,564.0,1134.0
121,1294.0,650.0,1115.0
122,1307.0,555.0,1140.0
123,1287.0,556.0,1222.0
124,1246.0,588.0,1078.0
125,1153.0,534.0,1093.0
126,1198.0,563.0,1136.0
127,1189.0,493.0,1132.0
128,1199.0,599.0,1070.0
129,1205.0,542.0,1088.0
130,1169.0,483.0,1124.0
131,1127.0,534.0,1102.0
132,1181.0,544.0,1015.0
133,1111.0,521.0,1015.0
134,1123.0,512.0,1012.0
135,1064.0,498.0,979.0
136,1117.0,472.0,980.0
137,1075.0,458.0,968.0
138,1089.0,465.0,966.0
139,1016.0,455.0,989.0
140,1061.0,463.0,950.0
141,1009.0,405.0,944.0
142,1028.0,422.0,978.0
143,944.0,446.0,832.0
144,917.0,458.0,901.0
145,972.0,418.0,925.0
146,982.0,397.0,881.0
147,888.0,431.0,835.0
148,929.0,389.0,832.0
149,826.0,386.0,780.0
150,835.0,399.0,824.0
151,887.0,351.0,779.0
152,794.0,356.0,819.0
153,842.0,373.0,815.0
154,754.0,350.0,755.0
155,796.0,352.0,743.0
156,807.0,341.0,735.0
157,794.0,363.0,746.0
158,776.0,321.0,643.0
159,747.0,346.0,691.0
160,688.0,322.0,708.0
161,707.0,302.0,646.0
162,714.0,317.0,650.0
163,737.0,314.0,628.0
164,673.0,302.0,601.0
165,687.0,294.0,581.0
166,653.0,293.0,603.0
167,650.0,322.0,594.0
168,635.0,267.0,577.0
169,598.0,281.0,570.0
170,602.0,284.0,533.0
171,576.0,276.0,523.0
172,590.0,295.0,520.0
173,603.0,259.0,505.0
174,571.0,249.0,539.0
175,560.0,266.0,500.0
176,592.0,254.0,475.0
177,551.0,278.0,438.0
178,574.0,213.0,468.0
179,534.0,219.0,464.0
180,503.0,233.0,444.0
181,545.0,206.0,433.0
182,492.0,276.0,462.0
183,548.0,217.0,426.0
184,528.0,222.0,441.0
185,468.0,238.0,417.0
186,440.0,216.0,403.0
187,485.0,200.0,414.0
188,475.0,207.0,377.0
189,484.0,191.0,379.0
190,480.0,201.0,387.0
191,440.0,227.0,424.0
