,Red_his,Green_his,Blue_his
0,81653.0,86322.0,146566.0
1,33629.0,26320.0,70845.0
2,24126.0,11227.0,45399.0
3,17413.0,7336.0,32696.0
4,16885.0,5892.0,23224.0
5,14729.0,5373.0,16444.0
6,13005.0,4792.0,11188.0
7,11523.0,4854.0,7770.0
8,10706.0,4827.0,5243.0
9,9704.0,4500.0,3685.0
10,8907.0,4389.0,2705.0
11,8216.0,4407.0,1864.0
12,7678.0,4095.0,1494.0
13,7078.0,3910.0,1208.0
14,6363.0,3953.0,925.0
15,5935.0,4029.0,796.0
16,5620.0,3990.0,601.0
17,5284.0,4003.0,534.0
18,4831.0,4123.0,507.0
19,4656.0,4322.0,425.0
20,4318.0,4397.0,444.0
21,4324.0,4560.0,398.0
22,4204.0,4408.0,393.0
23,3950.0,4733.0,375.0
24,3746.0,4701.0,384.0
25,3640.0,4618.0,353.0
26,3450.0,4738.0,358.0
27,3367.0,4769.0,339.0
28,3148.0,4659.0,322.0
29,3056.0,4661.0,328.0
30,2992.0,4420.0,334.0
31,2844.0,4290.0,332.0
32,2759.0,4412.0,327.0
33,2572.0,4311.0,338.0
34,2623.0,4140.0,315.0
35,2357.0,4350.0,318.0
36,2313.0,4255.0,341.0
37,2150.0,4322.0,317.0
38,2123.0,4083.0,315.0
39,1976.0,4143.0,350.0
40,1818.0,4044.0,360.0
41,1640.0,3942.0,334.0
42,1488.0,4058.0,342.0
43,1448.0,3887.0,371.0
44,1378.0,3870.0,328.0
45,1205.0,3852.0,339.0
46,1121.0,3873.0,342.0
47,1094.0,3802.0,313.0
48,986.0,3856.0,311.0
49,941.0,3657.0,328.0
50,905.0,3859.0,333.0
51,763.0,3713.0,357.0
52,731.0,3659.0,332.0
53,682.0,3503.0,357.0
54,602.0,3469.0,348.0
55,651.0,3368.0,369.0
56,616.0,3135.0,335.0
57,579.0,2977.0,348.0
58,553.0,2833.0,366.0
59,527.0,2732.0,396.0
60,547.0,2548.0,388.0
61,560.0,2321.0,396.0
62,513.0,2204.0,375.0
63,580.0,2084.0,372.0
64,530.0,1896.0,370.0
65,542.0,1729.0,368.0
66,481.0,1520.0,415.0
67,459.0,1451.0,394.0
68,521.0,1273.0,373.0
69,513.0,1249.0,424.0
70,497.0,1107.0,444.0
71,483.0,1029.0,434.0
72,481.0,1034.0,445.0
73,481.0,953.0,422.0
74,466.0,889.0,450.0
75,483.0,866.0,448.0
76,472.0,797.0,443.0
77,513.0,764.0,465.0
78,489.0,724.0,504.0
79,499.0,757.0,453.0
80,456.0,654.0,500.0
81,450.0,647.0,443.0
82,463.0,668.0,473.0
83,452.0,613.0,485.0
84,454.0,638.0,478.0
85,449.0,599.0,444.0
86,449.0,593.0,469.0
87,440.0,639.0,492.0
88,478.0,660.0,475.0
89,495.0,639.0,473.0
90,447.0,627.0,506.0
91,449.0,628.0,478.0
92,445.0,643.0,507.0
