,Red_his,Green_his,Blue_his
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,112642.0,0.0
13,0.0,11227.0,0.0
14,0.0,13228.0,0.0
15,0.0,5373.0,0.0
16,0.0,9646.0,0.0
17,0.0,4827.0,0.0
18,0.0,8889.0,0.0
19,0.0,4407.0,0.0
20,0.0,8005.0,0.0
21,0.0,3953.0,0.0
22,0.0,8019.0,0.0
23,0.0,8126.0,0.0
24,0.0,4322.0,0.0
25,0.0,8957.0,0.0
26,0.0,4408.0,0.0
27,0.0,9434.0,0.0
28,0.0,4618.0,0.0
29,0.0,9507.0,0.0
30,0.0,4659.0,0.0
31,0.0,9081.0,0.0
32,0.0,4290.0,0.0
33,0.0,8723.0,146566.0
34,0.0,4140.0,116244.0
35,0.0,8605.0,32696.0
36,0.0,4322.0,23224.0
37,81653.0,8226.0,16444.0
38,33629.0,4044.0,11188.0
39,24126.0,8000.0,13013.0
40,17413.0,3887.0,3685.0
41,31614.0,7722.0,2705.0
42,13005.0,7675.0,1864.0
43,11523.0,3856.0,1494.0
44,20410.0,7516.0,2133.0
45,8907.0,3713.0,796.0
46,8216.0,7162.0,601.0
47,7678.0,3469.0,534.0
48,13441.0,6503.0,507.0
49,5935.0,2977.0,869.0
50,5620.0,5565.0,398.0
51,10115.0,2548.0,393.0
52,4656.0,4525.0,375.0
53,4318.0,2084.0,384.0
54,8528.0,3625.0,711.0
55,3950.0,1520.0,339.0
56,3746.0,2724.0,322.0
57,3640.0,1249.0,328.0
58,6817.0,2136.0,334.0
59,3148.0,1034.0,659.0
60,3056.0,1842.0,338.0
61,5836.0,866.0,315.0
62,2759.0,1561.0,318.0
63,2572.0,1481.0,341.0
64,2623.0,654.0,632.0
65,4670.0,1315.0,350.0
66,2150.0,613.0,360.0
67,2123.0,1237.0,334.0
68,3794.0,593.0,342.0
69,1640.0,1299.0,699.0
70,1488.0,639.0,339.0
71,2826.0,1255.0,342.0
72,1205.0,643.0,313.0
73,1121.0,1285.0,311.0
74,1094.0,637.0,661.0
75,1927.0,1289.0,357.0
76,905.0,639.0,332.0
77,763.0,1309.0,357.0
78,1413.0,666.0,348.0
79,602.0,1347.0,704.0
80,651.0,694.0,348.0
81,616.0,1448.0,366.0
82,1132.0,1584.0,396.0
83,527.0,744.0,388.0
84,547.0,1543.0,771.0
85,1073.0,857.0,372.0
86,580.0,1700.0,370.0
87,530.0,881.0,368.0
88,542.0,1846.0,415.0
89,940.0,865.0,767.0
90,521.0,1850.0,424.0
91,513.0,928.0,444.0
92,980.0,1933.0,434.0
93,481.0,984.0,445.0
94,481.0,2094.0,872.0
95,949.0,1073.0,448.0
96,472.0,2127.0,443.0
97,513.0,1099.0,465.0
98,489.0,2211.0,504.0
99,955.0,1178.0,953.0
100,450.0,2306.0,443.0
101,463.0,1261.0,473.0
102,906.0,2468.0,485.0
103,449.0,2555.0,478.0
104,449.0,1258.0,913.0
105,440.0,2520.0,492.0
106,973.0,1207.0,475.0
107,447.0,2559.0,473.0
108,449.0,1249.0,506.0
109,874.0,2381.0,985.0
110,434.0,1251.0,548.0
111,495.0,2678.0,580.0
112,920.0,1413.0,628.0
113,461.0,2727.0,593.0
114,430.0,1466.0,1243.0
115,428.0,3085.0,669.0
116,963.0,1578.0,650.0
117,487.0,3451.0,714.0
118,506.0,1756.0,710.0
119,1000.0,3491.0,1555.0
120,542.0,1710.0,779.0
121,506.0,3416.0,826.0
122,590.0,3530.0,874.0
123,1152.0,1707.0,869.0
124,554.0,3637.0,1852.0
125,593.0,1845.0,902.0
126,1221.0,3733.0,902.0
127,610.0,1838.0,1051.0
128,612.0,3720.0,1016.0
129,1236.0,1867.0,2077.0
130,593.0,3881.0,1094.0
131,701.0,2020.0,1094.0
132,625.0,3954.0,1113.0
133,1438.0,2042.0,1098.0
134,705.0,4005.0,2264.0
135,787.0,2075.0,1148.0
136,1524.0,4174.0,1070.0
137,850.0,2161.0,1174.0
138,843.0,4538.0,1147.0
139,869.0,2189.0,2281.0
140,1760.0,4326.0,1113.0
141,860.0,4315.0,1168.0
142,953.0,2218.0,1186.0
143,1900.0,4265.0,1164.0
144,963.0,2149.0,2326.0
145,1008.0,4293.0,1170.0
146,988.0,2103.0,1209.0
147,2048.0,4137.0,1196.0
148,1030.0,2168.0,1253.0
149,1045.0,4148.0,2584.0
150,2084.0,1975.0,1324.0
151,1064.0,3562.0,1313.0
152,1110.0,1684.0,1381.0
153,2269.0,2963.0,1353.0
154,1125.0,1310.0,2901.0
155,1142.0,2273.0,1453.0
156,1136.0,1045.0,1511.0
157,2314.0,1747.0,1581.0
158,1234.0,711.0,1518.0
159,1143.0,1148.0,3112.0
160,2524.0,416.0,1606.0
161,1258.0,589.0,1546.0
162,1198.0,310.0,1623.0
163,1237.0,98.0,1662.0
164,2448.0,105.0,3275.0
165,1294.0,27.0,1753.0
166,1285.0,26.0,1661.0
167,2690.0,4.0,1717.0
168,1399.0,4.0,1672.0
169,1448.0,1.0,3722.0
170,2932.0,0.0,1845.0
171,1444.0,0.0,1906.0
172,1575.0,0.0,2073.0
173,1584.0,0.0,2035.0
174,3265.0,1.0,4385.0
175,1649.0,0.0,2288.0
176,1692.0,0.0,2355.0
177,3506.0,0.0,2377.0
178,1772.0,0.0,4873.0
179,1808.0,0.0,2482.0
180,1879.0,0.0,2596.0
181,3921.0,0.0,2538.0
182,1989.0,0.0,2628.0
183,1997.0,0.0,5499.0
184,4000.0,0.0,2898.0
185,2104.0,0.0,2829.0
