HA,2,19,w1,w2
IX,d,SE,1,4
0,0,17,-4,1
1,0,17,4,-1
2,0,25,-3,-4
3,0,25,3,4
4,0,26,-1,5
5,0,26,1,-5
6,1,10,-3,1
7,1,20,-2,-4
8,1,25,0,5
9,1,26,5,-1
10,1,29,2,-5
11,1,32,4,4
12,2,5,-2,1
13,2,17,-1,-4
14,2,26,1,5
15,2,34,-5,-3
16,2,34,3,-5
17,2,41,5,4
18,3,9,3,0
19,3,16,0,-4
20,3,25,-4,-3
21,3,29,-5,2
22,3,29,2,5
23,3,41,4,-5
24,4,16,4,0
25,4,17,1,-4
26,4,18,-3,-3
27,4,20,-4,2
28,4,34,3,5
29,4,50,5,-5
30,5,13,-3,2
31,5,13,-2,-3
32,5,20,2,-4
33,5,25,5,0
34,5,41,4,5
35,6,8,-2,2
36,6,10,-1,-3
37,6,25,3,-4
38,6,29,-5,-2
39,6,50,5,5
40,7,9,0,-3
41,7,10,3,1
42,7,20,-4,-2
43,7,32,4,-4
44,7,34,-5,3
45,8,10,1,-3
46,8,13,-3,-2
47,8,17,4,1
48,8,25,-4,3
49,8,41,5,-4
50,9,8,-2,-2
51,9,13,2,-3
52,9,18,-3,3
53,9,26,5,1
54,10,8,2,2
55,10,13,-2,3
56,10,18,3,-3
57,10,26,-5,-1
58,11,10,-1,3
59,11,13,3,2
60,11,17,-4,-1
61,11,25,4,-3
62,11,41,-5,4
63,12,9,0,3
64,12,10,-3,-1
65,12,20,4,2
66,12,32,-4,4
67,12,34,5,-3
68,13,8,2,-2
69,13,10,1,3
70,13,25,-3,4
71,13,29,5,2
72,13,50,-5,-5
73,14,13,2,3
74,14,13,3,-2
75,14,20,-2,4
76,14,25,-5,0
77,14,41,-4,-5
78,15,16,-4,0
79,15,17,-1,4
80,15,18,3,3
81,15,20,4,-2
82,15,34,-3,-5
83,15,50,-5,5
84,16,9,-3,0
85,16,16,0,4
86,16,25,4,3
87,16,29,-2,-5
88,16,29,5,-2
89,16,41,-4,5
90,17,5,2,-1
91,17,17,1,4
92,17,26,-1,-5
93,17,34,-3,5
94,17,34,5,3
95,17,41,-5,-4
96,18,10,3,-1
97,18,20,2,4
98,18,25,0,-5
99,18,26,-5,1
100,18,29,-2,5
101,18,32,-4,-4
