HA,3,24,w1,w2,w3
IX,d,SE,1,3,8
0,0,9,-2,-2,1
1,0,9,0,0,-3
2,0,9,0,0,3
3,0,9,2,2,-1
4,0,10,-3,1,0
5,0,10,3,-1,0
6,0,11,-1,3,-1
7,0,11,1,-3,1
8,0,12,-2,-2,-2
9,0,12,2,2,2
10,0,14,-1,3,2
11,0,14,1,-3,-2
12,0,19,-3,1,-3
13,0,19,-3,1,3
14,0,19,3,-1,-3
15,0,19,3,-1,3
16,0,24,-2,-2,4
17,0,24,2,2,-4
18,0,26,-1,3,-4
19,0,26,1,-3,4
20,0,33,-4,-4,-1
21,0,33,-4,4,-1
22,0,33,4,-4,1
23,0,33,4,4,1
24,0,36,-4,-4,2
25,0,36,-4,4,2
26,0,36,4,-4,-2
27,0,36,4,4,-2
28,0,48,-4,-4,-4
29,0,48,-4,4,-4
30,0,48,4,-4,4
31,0,48,4,4,4
32,1,5,-2,1,0
33,1,6,-1,-2,1
34,1,9,-1,-2,-2
35,1,10,0,3,-1
36,1,10,1,0,-3
37,1,10,1,0,3
38,1,13,0,3,2
39,1,14,-2,1,-3
40,1,14,-2,1,3
41,1,14,2,-3,1
42,1,14,3,2,-1
43,1,17,2,-3,-2
44,1,17,3,2,2
45,1,17,4,-1,0
46,1,18,-4,-1,1
47,1,21,-4,-1,-2
48,1,21,-1,-2,4
49,1,25,0,3,-4
50,1,26,-3,-4,-1
51,1,26,-3,4,-1
52,1,26,4,-1,-3
53,1,26,4,-1,3
54,1,29,-3,-4,2
55,1,29,-3,4,2
56,1,29,2,-3,4
57,1,29,3,2,-4
58,1,33,-4,-1,4
59,1,41,-3,-4,-4
60,1,41,-3,4,-4
61,2,4,2,0,0
62,2,5,0,-2,1
63,2,8,0,-2,-2
64,2,11,-3,-1,1
65,2,11,-1,1,-3
66,2,11,-1,1,3
67,2,11,1,3,-1
68,2,13,2,0,-3
69,2,13,2,0,3
70,2,14,-3,-1,-2
71,2,14,1,3,2
72,2,19,3,-3,1
73,2,20,-4,2,0
74,2,20,0,-2,4
75,2,21,-2,-4,-1
76,2,21,-2,4,-1
77,2,21,4,2,-1
78,2,22,3,-3,-2
79,2,24,-2,-4,2
80,2,24,-2,4,2
81,2,24,4,2,2
82,2,26,-3,-1,4
83,2,26,1,3,-4
84,2,29,-4,2,-3
85,2,29,-4,2,3
86,2,34,3,-3,4
87,2,36,-2,-4,-4
88,2,36,-2,4,-4
89,2,36,4,2,-4
90,3,6,-2,-1,1
91,3,6,1,-2,1
92,3,9,-2,-1,-2
93,3,9,1,-2,-2
94,3,9,3,0,0
95,3,10,0,1,-3
96,3,10,0,1,3
97,3,13,-3,2,0
98,3,14,2,3,-1
99,3,17,2,3,2
100,3,18,-1,-4,-1
101,3,18,-1,4,-1
102,3,18,3,0,-3
103,3,18,3,0,3
104,3,21,-2,-1,4
105,3,21,-1,-4,2
106,3,21,-1,4,2
107,3,21,1,-2,4
108,3,22,-3,2,-3
109,3,22,-3,2,3
110,3,26,-4,-3,-1
111,3,26,4,-3,1
112,3,29,-4,-3,2
113,3,29,2,3,-4
114,3,29,4,-3,-2
115,3,33,-1,-4,-4
116,3,33,-1,4,-4
117,3,41,-4,-3,-4
118,3,41,4,-3,4
119,4,3,-1,-1,1
120,4,6,-1,-1,-2
121,4,8,-2,2,0
122,4,9,2,-2,1
123,4,11,1,1,-3
124,4,11,1,1,3
125,4,12,2,-2,-2
126,4,16,4,0,0
127,4,17,-4,0,1
128,4,17,-2,2,-3
129,4,17,-2,2,3
130,4,17,0,-4,-1
131,4,17,0,4,-1
132,4,18,-1,-1,4
133,4,19,-3,-3,-1
134,4,19,3,3,-1
135,4,20,-4,0,-2
136,4,20,0,-4,2
137,4,20,0,4,2
138,4,22,-3,-3,2
139,4,22,3,3,2
140,4,24,2,-2,4
141,4,25,4,0,-3
142,4,25,4,0,3
143,4,32,-4,0,4
144,4,32,0,-4,-4
145,4,32,0,4,-4
146,4,34,-3,-3,-4
147,4,34,3,3,-4
148,5,5,-1,2,0
149,5,5,0,-1,-2
150,5,5,2,1,0
151,5,10,-3,0,1
152,5,13,-3,0,-2
153,5,14,-2,-3,-1
154,5,14,-1,2,-3
155,5,14,-1,2,3
156,5,14,2,1,-3
157,5,14,2,1,3
158,5,14,3,-2,1
159,5,17,-2,-3,2
160,5,17,0,-1,4
