HA,4,79,w1,w2,w3,w4
IX,d,SE,1,3,9,26
0,0,10,-3,1,0,0
1,0,10,-1,0,0,-3
2,0,10,0,-3,1,0
3,0,10,0,3,-1,0
4,0,10,1,0,0,3
5,0,10,3,-1,0,0
6,0,11,-1,0,3,-1
7,0,11,1,0,-3,1
8,0,13,-2,-2,-2,1
9,0,13,0,0,-3,-2
10,0,13,0,0,3,2
11,0,13,2,2,2,-1
12,0,14,-3,-2,1,0
13,0,14,-2,1,0,3
14,0,14,2,-1,0,-3
15,0,14,3,2,-1,0
16,0,15,-2,1,-3,1
17,0,15,-1,3,2,-1
18,0,15,1,-3,-2,1
19,0,15,2,-1,3,-1
20,0,17,0,-3,-2,-2
21,0,17,0,3,2,2
22,0,18,-2,-2,1,3
23,0,18,2,2,-1,-3
24,0,20,-1,-3,1,-3
25,0,20,-1,3,-1,-3
26,0,20,1,-3,1,3
27,0,20,1,3,-1,3
28,0,21,-3,-2,-2,-2
29,0,21,3,2,2,2
30,0,23,-3,1,-3,-2
31,0,23,-3,1,3,2
32,0,23,3,-1,-3,-2
33,0,23,3,-1,3,2
34,0,25,-1,-2,-2,4
35,0,25,1,2,2,-4
36,0,26,-4,1,0,-3
37,0,26,-3,4,-1,0
38,0,26,3,-4,1,0
39,0,26,4,-1,0,3
40,0,27,-4,1,3,-1
41,0,27,-1,-3,4,-1
42,0,27,-1,1,-3,4
43,0,27,1,-1,3,-4
44,0,27,1,3,-4,1
45,0,27,4,-1,-3,1
46,0,29,-2,0,3,-4
47,0,29,0,-3,4,2
48,0,29,0,3,-4,-2
49,0,29,2,0,-3,4
50,0,30,-4,-2,1,-3
51,0,30,-2,4,-1,3
52,0,30,2,-4,1,-3
53,0,30,4,2,-1,3
54,0,33,-3,-2,4,2
55,0,33,-3,4,2,2
56,0,33,-2,3,2,-4
57,0,33,2,-3,-2,4
58,0,33,3,-4,-2,-2
59,0,33,3,2,-4,-2
60,0,37,-4,-2,4,-1
61,0,37,-4,-1,-2,4
62,0,37,-4,4,2,-1
63,0,37,-2,4,-4,1
64,0,37,2,-4,4,-1
