PA,3,65,w1,w2,w3
IX,d,SE,1,5,26
0,0,0,0,0,0
1,1,1,1,0,0
2,2,4,2,0,0
3,3,5,-2,1,0
4,4,2,-1,1,0
5,5,1,0,1,0
6,6,2,1,1,0
7,7,5,2,1,0
8,8,5,0,-1,-2
9,9,5,-1,2,0
10,10,4,0,2,0
11,11,5,1,2,0
12,12,5,-1,0,-2
13,13,4,0,0,-2
14,14,5,1,0,-2
15,15,6,-1,-2,1
16,16,5,0,-2,1
17,17,6,-1,1,-2
18,18,5,0,1,-2
19,19,6,-2,-1,1
20,20,3,-1,-1,1
21,21,2,0,-1,1
22,22,3,1,-1,1
23,23,6,2,-1,1
24,24,5,-2,0,1
25,25,2,-1,0,1
26,26,1,0,0,1
27,27,2,1,0,1
28,28,5,2,0,1
29,29,5,0,-2,-1
30,30,3,-1,1,1
31,31,2,0,1,1
32,32,3,1,1,1
33,33,3,-1,-1,-1
34,34,2,0,-1,-1
35,35,3,1,-1,-1
36,36,5,0,2,1
37,37,5,-2,0,-1
38,38,2,-1,0,-1
39,39,1,0,0,-1
40,40,2,1,0,-1
41,41,5,2,0,-1
42,42,6,-2,1,-1
43,43,3,-1,1,-1
44,44,2,0,1,-1
45,45,3,1,1,-1
46,46,6,-1,-1,2
47,47,5,0,-1,2
48,48,6,-1,2,-1
49,49,5,0,2,-1
50,50,6,1,2,-1
51,51,5,-1,0,2
52,52,4,0,0,2
53,53,5,1,0,2
54,54,5,-1,-2,0
55,55,4,0,-2,0
56,56,5,1,-2,0
57,57,5,0,1,2
58,58,5,-2,-1,0
59,59,2,-1,-1,0
60,60,1,0,-1,0
61,61,2,1,-1,0
62,62,5,2,-1,0
63,63,4,-2,0,0
64,64,1,-1,0,0
,TSE,246,,,
,MSE,1.2615,,,
,PSNR,47.12,,,
