PA,4,47,w1,w2,w3,w4
IX,d,SE,1,3,9,16
0,0,0,0,0,0,0
1,1,1,1,0,0,0
2,2,2,-1,1,0,0
3,3,1,0,1,0,0
4,4,2,1,1,0,0
5,5,3,-1,-1,1,0
6,6,2,0,-1,1,0
7,7,2,0,0,-1,1
8,8,2,-1,0,1,0
9,9,1,0,0,1,0
10,10,2,1,0,1,0
11,11,3,-1,1,1,0
12,12,2,0,1,1,0
13,13,2,0,-1,0,1
14,14,3,1,-1,0,1
15,15,2,-1,0,0,1
16,16,1,0,0,0,1
17,17,2,1,0,0,1
18,18,3,-1,1,0,1
19,19,2,0,1,0,1
20,20,3,1,1,0,1
21,21,3,-1,0,-1,-1
22,22,2,0,0,-1,-1
23,23,3,1,0,-1,-1
24,24,3,-1,0,1,1
25,25,2,0,0,1,1
26,26,3,1,0,1,1
27,27,3,-1,-1,0,-1
28,28,2,0,-1,0,-1
29,29,3,1,-1,0,-1
30,30,2,-1,0,0,-1
31,31,1,0,0,0,-1
32,32,2,1,0,0,-1
33,33,3,-1,1,0,-1
34,34,2,0,1,0,-1
35,35,2,0,-1,-1,0
36,36,3,1,-1,-1,0
37,37,2,-1,0,-1,0
38,38,1,0,0,-1,0
39,39,2,1,0,-1,0
40,40,2,0,0,1,-1
41,41,2,0,1,-1,0
42,42,3,1,1,-1,0
43,43,2,-1,-1,0,0
44,44,1,0,-1,0,0
45,45,2,1,-1,0,0
46,46,1,-1,0,0,0
,TSE,98,,,,
,MSE,0.5213,,,,
,PSNR,50.96,,,,
