HA,3,35,w1,w2,w3
IX,d,SE,1,11,16
0,0,13,-3,0,-2
1,0,13,-2,-3,0
2,0,13,0,-2,-3
3,0,13,0,2,3
4,0,13,2,3,0
5,0,13,3,0,2
6,0,14,-3,2,1
7,0,14,-2,-1,3
8,0,14,-1,3,-2
9,0,14,1,-3,2
10,0,14,2,1,-3
11,0,14,3,-2,-1
12,0,41,-4,-4,3
13,0,41,-4,3,-4
14,0,41,-3,4,4
15,0,41,3,-4,-4
16,0,41,4,-3,4
17,0,41,4,4,-3
18,1,8,-2,0,-2
19,1,9,-2,2,1
20,1,10,-1,-3,0
21,1,11,-1,-1,3
22,1,13,0,3,-2
23,1,14,1,-2,-3
24,1,14,1,2,3
25,1,17,2,-3,2
26,1,18,-4,-1,1
27,1,18,3,3,0
28,1,19,3,1,-3
29,1,20,4,0,2
30,1,21,4,-2,-1
31,1,29,-4,-3,-2
32,1,33,-4,1,4
33,1,34,-3,-4,3
34,1,34,-3,3,-4
35,1,36,-2,4,4
36,1,48,4,-4,-4
37,2,5,-1,0,-2
38,2,6,-1,2,1
39,2,9,0,-3,0
40,2,10,0,-1,3
41,2,11,-3,-1,1
42,2,14,1,3,-2
43,2,17,2,-2,-3
44,2,17,2,2,3
45,2,21,-4,2,-1
46,2,22,-3,-3,-2
47,2,22,3,-3,2
48,2,25,4,3,0
49,2,26,-3,1,4
50,2,26,4,1,-3
51,2,29,-2,-4,3
52,2,29,-2,3,-4
53,2,32,-4,0,-4
54,2,33,-1,4,4
55,2,36,-4,4,2
56,3,5,0,2,1
57,3,6,-2,-1,1
58,3,9,3,0,0
59,3,10,1,-3,0
60,3,11,1,-1,3
61,3,14,-3,2,-1
62,3,17,-2,-3,-2
63,3,17,2,3,-2
64,3,21,-2,1,4
65,3,22,3,-2,-3
66,3,22,3,2,3
67,3,25,-3,0,-4
68,3,26,-1,-4,3
69,3,26,-1,3,-4
70,3,29,-3,4,2
71,3,29,4,-3,2
72,3,32,0,4,4
73,3,33,-4,-4,1
74,3,36,-4,-2,4
75,4,5,1,0,-2
76,4,6,1,2,1
77,4,9,-2,2,-1
78,4,13,2,-3,0
79,4,14,-1,-3,-2
80,4,14,2,-1,3
81,4,16,4,0,0
82,4,18,-4,-1,-1
83,4,18,-1,1,4
84,4,20,-2,0,-4
85,4,21,-4,1,2
86,4,22,3,3,-2
87,4,24,-2,4,2
88,4,25,0,-4,3
89,4,25,0,3,-4
90,4,26,-3,-4,1
91,4,29,-3,-2,4
92,4,29,4,-2,-3
93,4,29,4,2,3
94,4,33,1,4,4
95,4,41,-4,-3,-4
96,5,6,-1,2,-1
97,5,8,2,0,-2
98,5,9,2,2,1
99,5,11,-3,-1,-1
100,5,13,0,-3,-2
101,5,14,-3,1,2
102,5,17,-1,0,-4
103,5,17,0,1,4
104,5,18,3,-3,0
105,5,19,3,-1,3
106,5,21,-2,-4,1
107,5,21,-1,4,2
108,5,24,-2,-2,4
109,5,26,1,-4,3
110,5,26,1,3,-4
111,5,29,-4,2,-3
112,5,29,4,3,-2
113,5,32,-4,4,0
114,5,34,-3,-3,-4
115,5,36,2,4,4
116,6,5,0,2,-1
117,6,6,-2,-1,-1
118,6,9,-2,1,2
119,6,13,3,0,-2
120,6,14,1,-3,-2
121,6,14,3,2,1
122,6,16,0,0,-4
123,6,18,-1,-4,1
124,6,18,1,1,4
125,6,20,0,4,2
126,6,21,-1,-2,4
127,6,22,-3,2,-3
128,6,24,-4,-2,2
129,6,25,-3,4,0
130,6,25,4,-3,0
131,6,26,4,-1,3
132,6,29,-2,-3,-4
133,6,29,2,-4,3
134,6,29,2,3,-4
135,6,33,-4,-4,-1
136,6,41,3,4,4
137,7,6,-1,1,2
138,7,6,1,2,-1
139,7,6,2,-1,1
140,7,17,-4,1,0
141,7,17,-3,-2,2
142,7,17,-2,2,-3
143,7,17,0,-4,1
144,7,17,1,0,-4
145,7,17,2,-3,-2
146,7,20,-2,4,0
147,7,20,0,-2,4
148,7,20,4,0,-2
149,7,21,1,4,2
150,7,21,2,1,4
151,7,21,4,2,1
152,7,26,-4,-1,-3
153,7,26,-3,-4,-1
154,7,26,-1,-3,-4
155,7,34,-4,3,3
156,7,34,3,-4,3
157,7,34,3,3,-4
158,7,48,4,4,4
