PA,2,33,w1,w2
IX,d,SE,1.0,6.0
0,0,0,0.0,0.0
1,1,1,1.0,0.0
2,2,4,2.0,0.0
3,3,9,3.0,0.0
4,4,5,-2.0,1.0
5,5,2,-1.0,1.0
6,6,1,0.0,1.0
7,7,2,1.0,1.0
8,8,5,2.0,1.0
9,9,10,3.0,1.0
10,10,8,-2.0,2.0
11,11,5,-1.0,2.0
12,12,4,0.0,2.0
13,13,5,1.0,2.0
14,14,8,2.0,2.0
15,15,9,0.0,-3.0
16,16,10,1.0,-3.0
17,17,10,-1.0,3.0
18,18,9,0.0,3.0
19,19,8,-2.0,-2.0
20,20,5,-1.0,-2.0
21,21,4,0.0,-2.0
22,22,5,1.0,-2.0
23,23,8,2.0,-2.0
24,24,10,-3.0,-1.0
25,25,5,-2.0,-1.0
26,26,2,-1.0,-1.0
27,27,1,0.0,-1.0
28,28,2,1.0,-1.0
29,29,5,2.0,-1.0
30,30,9,-3.0,0.0
31,31,4,-2.0,0.0
32,32,1,-1.0,0.0
,TSE,176,,
,MSE,2.6667,,
,PSNR,43.87,,
