PA,3,87,w1,w2,w3
IX,d,SE,1.0,5.0,25.0
0,0,0,0.0,0.0,0.0
1,1,1,1.0,0.0,0.0
2,2,4,2.0,0.0,0.0
3,3,5,-2.0,1.0,0.0
4,4,2,-1.0,1.0,0.0
5,5,1,0.0,1.0,0.0
6,6,2,1.0,1.0,0.0
7,7,5,2.0,1.0,0.0
8,8,8,-2.0,2.0,0.0
9,9,5,-1.0,2.0,0.0
10,10,4,0.0,2.0,0.0
11,11,5,1.0,2.0,0.0
12,12,8,2.0,2.0,0.0
13,13,9,-2.0,-2.0,1.0
14,14,6,-1.0,-2.0,1.0
15,15,5,0.0,-2.0,1.0
16,16,6,1.0,-2.0,1.0
17,17,9,2.0,-2.0,1.0
18,18,6,-2.0,-1.0,1.0
19,19,3,-1.0,-1.0,1.0
20,20,2,0.0,-1.0,1.0
21,21,3,1.0,-1.0,1.0
22,22,6,2.0,-1.0,1.0
23,23,5,-2.0,0.0,1.0
24,24,2,-1.0,0.0,1.0
25,25,1,0.0,0.0,1.0
26,26,2,1.0,0.0,1.0
27,27,5,2.0,0.0,1.0
28,28,6,-2.0,1.0,1.0
29,29,3,-1.0,1.0,1.0
30,30,2,0.0,1.0,1.0
31,31,3,1.0,1.0,1.0
32,32,5,0.0,-1.0,-2.0
33,33,6,1.0,-1.0,-2.0
34,34,6,-1.0,2.0,1.0
35,35,5,0.0,2.0,1.0
36,36,5,-1.0,0.0,-2.0
37,37,4,0.0,0.0,-2.0
38,38,5,1.0,0.0,-2.0
39,39,8,2.0,0.0,-2.0
40,40,8,0.0,-2.0,2.0
41,41,6,-1.0,1.0,-2.0
42,42,5,0.0,1.0,-2.0
43,43,6,1.0,1.0,-2.0
44,44,6,-1.0,-1.0,2.0
45,45,5,0.0,-1.0,2.0
46,46,6,1.0,-1.0,2.0
47,47,8,0.0,2.0,-2.0
48,48,8,-2.0,0.0,2.0
49,49,5,-1.0,0.0,2.0
50,50,4,0.0,0.0,2.0
51,51,5,1.0,0.0,2.0
52,52,5,0.0,-2.0,-1.0
53,53,6,1.0,-2.0,-1.0
54,54,6,-1.0,1.0,2.0
55,55,5,0.0,1.0,2.0
56,56,3,-1.0,-1.0,-1.0
57,57,2,0.0,-1.0,-1.0
58,58,3,1.0,-1.0,-1.0
59,59,6,2.0,-1.0,-1.0
60,60,5,-2.0,0.0,-1.0
61,61,2,-1.0,0.0,-1.0
62,62,1,0.0,0.0,-1.0
63,63,2,1.0,0.0,-1.0
64,64,5,2.0,0.0,-1.0
65,65,6,-2.0,1.0,-1.0
66,66,3,-1.0,1.0,-1.0
67,67,2,0.0,1.0,-1.0
68,68,3,1.0,1.0,-1.0
69,69,6,2.0,1.0,-1.0
70,70,9,-2.0,2.0,-1.0
71,71,6,-1.0,2.0,-1.0
72,72,5,0.0,2.0,-1.0
73,73,6,1.0,2.0,-1.0
74,74,9,2.0,2.0,-1.0
75,75,8,-2.0,-2.0,0.0
76,76,5,-1.0,-2.0,0.0
77,77,4,0.0,-2.0,0.0
78,78,5,1.0,-2.0,0.0
79,79,8,2.0,-2.0,0.0
80,80,5,-2.0,-1.0,0.0
81,81,2,-1.0,-1.0,0.0
82,82,1,0.0,-1.0,0.0
83,83,2,1.0,-1.0,0.0
84,84,5,2.0,-1.0,0.0
85,85,4,-2.0,0.0,0.0
86,86,1,-1.0,0.0,0.0
,TSE,406,,,
,MSE,1.5556,,,
,PSNR,46.21,,,
