PA,4,97,w1,w2,w3,w4
IX,d,SE,1.0,22.0,33.0,47.0
0,0,0,0.0,0.0,0.0,0.0
1,1,1,1.0,0.0,0.0,0.0
2,2,4,2.0,0.0,0.0,0.0
3,3,4,0.0,0.0,0.0,-2.0
4,4,4,-1.0,1.0,1.0,1.0
5,5,3,0.0,1.0,1.0,1.0
6,6,4,1.0,1.0,1.0,1.0
7,7,4,-1.0,1.0,1.0,-1.0
8,8,3,0.0,1.0,1.0,-1.0
9,9,4,1.0,1.0,1.0,-1.0
10,10,3,-1.0,-1.0,1.0,0.0
11,11,2,0.0,-1.0,1.0,0.0
12,12,3,1.0,-1.0,1.0,0.0
13,13,3,-1.0,0.0,-1.0,1.0
14,14,2,0.0,0.0,-1.0,1.0
15,15,3,1.0,0.0,-1.0,1.0
16,16,3,-1.0,0.0,-1.0,-1.0
17,17,2,0.0,0.0,-1.0,-1.0
18,18,3,1.0,0.0,-1.0,-1.0
19,19,5,0.0,0.0,2.0,-1.0
20,20,5,-2.0,1.0,0.0,0.0
21,21,2,-1.0,1.0,0.0,0.0
22,22,1,0.0,1.0,0.0,0.0
23,23,2,1.0,1.0,0.0,0.0
24,24,3,-1.0,-1.0,0.0,1.0
25,25,2,0.0,-1.0,0.0,1.0
26,26,3,1.0,-1.0,0.0,1.0
27,27,3,-1.0,-1.0,0.0,-1.0
28,28,2,0.0,-1.0,0.0,-1.0
29,29,3,1.0,-1.0,0.0,-1.0
30,30,5,-1.0,0.0,-2.0,0.0
31,31,4,0.0,0.0,-2.0,0.0
32,32,2,-1.0,0.0,1.0,0.0
33,33,1,0.0,0.0,1.0,0.0
34,34,2,1.0,0.0,1.0,0.0
35,35,4,-1.0,1.0,-1.0,1.0
36,36,3,0.0,1.0,-1.0,1.0
37,37,4,1.0,1.0,-1.0,1.0
38,38,4,-1.0,1.0,-1.0,-1.0
39,39,3,0.0,1.0,-1.0,-1.0
40,40,4,1.0,1.0,-1.0,-1.0
41,41,3,-1.0,-1.0,-1.0,0.0
42,42,2,0.0,-1.0,-1.0,0.0
43,43,3,1.0,-1.0,-1.0,0.0
44,44,4,0.0,2.0,0.0,0.0
45,45,5,-2.0,0.0,0.0,1.0
46,46,2,-1.0,0.0,0.0,1.0
47,47,1,0.0,0.0,0.0,1.0
48,48,2,1.0,0.0,0.0,1.0
49,49,2,-1.0,0.0,0.0,-1.0
50,50,1,0.0,0.0,0.0,-1.0
51,51,2,1.0,0.0,0.0,-1.0
52,52,5,-1.0,-2.0,0.0,0.0
53,53,4,0.0,-2.0,0.0,0.0
54,54,3,-1.0,1.0,1.0,0.0
55,55,2,0.0,1.0,1.0,0.0
56,56,3,1.0,1.0,1.0,0.0
57,57,4,-1.0,-1.0,1.0,1.0
58,58,3,0.0,-1.0,1.0,1.0
59,59,4,1.0,-1.0,1.0,1.0
60,60,4,-1.0,-1.0,1.0,-1.0
61,61,3,0.0,-1.0,1.0,-1.0
62,62,4,1.0,-1.0,1.0,-1.0
63,63,2,-1.0,0.0,-1.0,0.0
64,64,1,0.0,0.0,-1.0,0.0
65,65,2,1.0,0.0,-1.0,0.0
66,66,4,0.0,0.0,2.0,0.0
67,67,5,0.0,0.0,-1.0,-2.0
68,68,3,-1.0,1.0,0.0,1.0
69,69,2,0.0,1.0,0.0,1.0
70,70,3,1.0,1.0,0.0,1.0
71,71,3,-1.0,1.0,0.0,-1.0
72,72,2,0.0,1.0,0.0,-1.0
73,73,3,1.0,1.0,0.0,-1.0
74,74,2,-1.0,-1.0,0.0,0.0
75,75,1,0.0,-1.0,0.0,0.0
76,76,2,1.0,-1.0,0.0,0.0
77,77,5,0.0,2.0,1.0,0.0
78,78,5,0.0,-1.0,0.0,-2.0
79,79,3,-1.0,0.0,1.0,1.0
80,80,2,0.0,0.0,1.0,1.0
81,81,3,1.0,0.0,1.0,1.0
82,82,3,-1.0,0.0,1.0,-1.0
83,83,2,0.0,0.0,1.0,-1.0
84,84,3,1.0,0.0,1.0,-1.0
85,85,3,-1.0,1.0,-1.0,0.0
86,86,2,0.0,1.0,-1.0,0.0
87,87,3,1.0,1.0,-1.0,0.0
88,88,4,-1.0,-1.0,-1.0,1.0
89,89,3,0.0,-1.0,-1.0,1.0
90,90,4,1.0,-1.0,-1.0,1.0
91,91,4,-1.0,-1.0,-1.0,-1.0
92,92,3,0.0,-1.0,-1.0,-1.0
93,93,4,1.0,-1.0,-1.0,-1.0
94,94,4,0.0,0.0,0.0,2.0
95,95,4,-2.0,0.0,0.0,0.0
96,96,1,-1.0,0.0,0.0,0.0
,TSE,288,,,,
,MSE,0.7423,,,,
,PSNR,49.43,,,,
