COR, ,Plain, , , , , , , , ,Cipher, , 
Sample,8000,red,,,green,,,blue,,,red,,,green,,,blue,,
Image,Type,horizontal,vertical,diagonal,horizontal,vertical,diagonal,horizontal,vertical ,diagonal,horizontal,vertical,diagonal,horizontal,vertical,diagonal,horizontal,vertical,diagonal
AtriumNight,color,0.9566602775430209,0.9302354014179366,0.9094676054166546,0.9532058380318756,0.9259313800218043,0.9028780626502904,0.9519094821357533,0.9254884116063076,0.9012021375437517,0.04441338460312845,-0.011888554326189356,-0.013108807682909342,0.010867488310409639,-0.002491800377291971,-0.005472639342497857,0.022662346823558957,0.005161818119941075,-0.03456349944221571
Boat,gray,0.97131982867575,0.9349501488121422,0.9167298129144866,,,,,,,-0.0252184279932769,-0.007563801454768245,-0.013475447018428044
Desk_oBA2,color,0.9710450101016761,0.9700885764734369,0.9502440156761244,0.9634508474743396,0.9613986604634865,0.9347705189601738,0.9590685271419593,0.9663382936621024,0.9367180533445576,0.4926625705377374,0.12372330996552017,0.11808475506394465,0.4926861167323667,0.10277253325861589,0.09705956590881382,0.4907822881792224,0.12901756588059723,0.14704187281607584
kodim04,color,0.9615333330417448,0.9560112307772208,0.9372119952601459,0.9767306591291389,0.9720640222740079,0.960571540586212,0.9777824550420305,0.9734237450138955,0.9622754518043514,-0.03820403321091799,-0.021054415768325375,-0.0150288336331344,-0.032283475080752806,0.0034012580842636224,-0.010797648039861602,-0.022707305572120216,-0.0031481792691046974,-0.0173537238777754
kodim07,color,0.9539873012855136,0.9702622995328666,0.9340554544703826,0.9399125951208992,0.9650662599198416,0.9180283720051503,0.9470344113420139,0.9670854053712498,0.9261477021728477,-0.02591750864458109,-0.004714416219405301,-0.0012962269953084415,0.005136933054604164,-0.0022782767377824997,-0.00897922548882928,-0.0048644639171179236,-0.0029331448897170565,0.0035565546137126466
kodim19,color,0.953957628558506,0.9372913092910119,0.9063671043382596,0.9433360920031296,0.9249572369022828,0.8874964253657199,0.9459040954020494,0.9295135913981897,0.8939611789906001,-0.030446659573173246,0.020126256712884472,0.0040682211112521155,-0.013801499196068245,0.027175504748223393,0.000836763611059846,-0.003206047814901145,0.04361566598908466,0.002849109720182823
kodim22,color,0.9629984921706226,0.9553688369650141,0.9345408202928454,0.9512524483569093,0.9431645909261249,0.9152733058358101,0.9651529842410959,0.9566802898903458,0.937289370024229,0.02219091416050499,-0.0649461468738962,-0.05184640793660638,0.027754506039505494,-0.0639314001263673,-0.05608691623830454,0.01209520056286758,-0.07781343149911864,-0.06463484284434583
kodim23,color,0.9848769924150853,0.9890648360011909,0.9791300138910551,0.9815722832445543,0.9862627498362281,0.9734229994488617,0.9851369581070966,0.9868273091209825,0.9772881045957358,0.03396974909444452,-0.03779948805746182,-0.017909002104786496,-0.012494747245811982,-0.016347801887738093,-0.008056039660840578,-0.03909034513347268,0.0032346054930700954,-0.005246144293609648
Peppers,color,0.9706838802005663,0.962436473287001,0.9564764926144523,0.9868970219852992,0.9797364275472316,0.9716313331582309,0.9724223850294893,0.9638335321614733,0.9491021214969662,0.021707223641770107,0.010634003877256286,0.009780491128426595,-0.004309881954540304,-0.020214747094176175,0.04197165508623386,0.026760505772396435,0.010710384531600748,0.026461330926824313
Tank,gray,0.9321732991283727,0.944716580564958,0.8996905688436768,,,,,,,-0.07786868142749917,-0.010863974639944523,-0.015611456217429124
