COR, ,Plain, , , , , , , , ,Cipher, , 
Sample,8000,red,,,green,,,blue,,,red,,,green,,,blue,,
Image,Type,horizontal,vertical,diagonal,horizontal,vertical,diagonal,horizontal,vertical ,diagonal,horizontal,vertical,diagonal,horizontal,vertical,diagonal,horizontal,vertical,diagonal
AtriumNight,color,0.9538734269908213,0.9310725205882787,0.9017777139192362,0.95008715484287,0.9289260928239166,0.8956548638685163,0.9491438198925236,0.9273101093558217,0.8958579833205348,0.021711265002187032,0.0150571904881229,-0.02483983705633552,0.015977020392343756,-0.0018935616916426323,-0.016608224590736628,0.03407572359696958,0.018194255883029083,-0.033986574328516136
Boat,gray,0.9693878333157182,0.9419784315884344,0.9226555332766683,,,,,,,-0.017230335740344032,-0.036108319044768536,-0.018494544848984565
Desk_oBA2,color,0.9737801292587441,0.9701919478016702,0.9542319753558026,0.9692479379544194,0.9611638314298785,0.9422948624833,0.9652825364382053,0.9656112095426486,0.9430599332384599,0.4758409430185283,0.12726027355560965,0.13222403865790253,0.49297646538089973,0.1270081417507997,0.12549007884641455,0.4997433094956696,0.11756136810969645,0.12885328975248575
kodim04,color,0.9562860767340431,0.9570054949734113,0.9361250911490135,0.973315826799061,0.9725069324359428,0.960345858456763,0.9749184818340186,0.9739616806678936,0.9623372029946201,-0.04541504894672649,-0.008305189371228818,-0.0048481704605701555,-0.04080583030327984,-0.017470665633523837,-0.012236491476801635,-0.004024576007768835,-0.015928060586637562,-0.00935589112772166
kodim07,color,0.9525837417861406,0.9711465645815532,0.928377693572322,0.9398281570022617,0.9663360186324036,0.9132961371447866,0.9466427378346177,0.9687279536606975,0.9211452005293919,-0.013676671316923806,-0.01726508365241604,-0.010778508022691802,0.017012333924755707,-0.009170923288978243,0.02315441856966314,-0.004778710244154699,0.005787001151231009,0.008558528464065785
kodim19,color,0.9565979822533415,0.9349812505263637,0.9055611214097763,0.9470073077334106,0.9228114362207487,0.8869146103532977,0.9497360885229666,0.9269853578185248,0.893312293447008,-0.028910177682255497,0.007357859892175733,-0.006133407931388924,-0.007315990749833224,0.0026638103978492886,-0.012533073276942776,-0.0017359342212307789,0.03258619786017156,0.017977399953453193
kodim22,color,0.9632664303274757,0.9575426708168376,0.9333541360444667,0.9540774720298815,0.9456221434025434,0.9154855140142403,0.9667151394424469,0.9576630246887546,0.9367818197881816,0.012218356050955176,-0.07203811314626239,-0.052192155172049226,0.014703708236206753,-0.06914438986890455,-0.04165011913873964,0.01432558888452133,-0.0616383194857506,-0.06588778236456087
kodim23,color,0.9865884628035833,0.9872442189590921,0.9817871047620705,0.9842134457826983,0.9843732105207404,0.9782726710194817,0.9867965772665017,0.9849418196040621,0.9806985564539179,0.015434637037780436,-0.021978266292436276,-0.0004552634386639684,-0.01710916920511662,-0.017703529822462892,-0.008905430088210223,0.005992207940646376,-0.035615144859398574,-0.010169879901960135
Peppers,color,0.969782954757359,0.9649106660274963,0.9595775057527632,0.9870000991162278,0.9814578851535928,0.9740777828262558,0.9729232466424819,0.9657444625971598,0.9545986217138077,0.024447577176192746,-0.016179599723651718,0.01953249662455493,0.03128724594681939,-0.011094150570538521,0.022480891101987026,-0.008476510793672055,0.010388132654603062,0.019287065601202514
Tank,gray,0.9345932879711157,0.9465982856283641,0.9042441432045568,,,,,,,-0.09489319966890186,-0.02343032026644557,-0.050817497080435835
