COR,,Plain,,,,,,,,,Cipher,,,,,,,,
Sample,80000,red,,,green,,,blue,,,red,,,green,,,blue,,
Image,Type,horizontal,vertical ,diagonal,horizontal,vertical ,diagonal,horizontal,vertical ,diagonal,horizontal,vertical ,diagonal,horizontal,vertical ,diagonal,horizontal,vertical ,diagonal
AtriumNight,color,,,,,,,,,,,,,,,,,,
Boat.png,grey,,,,,,,,,,,,,,,,,,
Desk_oBA2,color,,,,,,,,,,,,,,,,,,
kodim04,color,,,,,,,,,,,,,,,,,,
kodim07,color,,,,,,,,,,,,,,,,,,
kodim19,color,,,,,,,,,,,,,,,,,,
kodim22,color,,,,,,,,,,,,,,,,,,
kodim23,color,,,,,,,,,,,,,,,,,,
Peppers,color,,,,,,,,,,,,,,,,,,
Tank,grey,,,,,,,,,,,,,,,,,,
