VOH, ,Plain, , ,Cipher, , 
Image,Type,Red,Green,Blue,Red,Green,Blue
AtriumNight,color,5375724.0,5610355.5,7012235.0,286158.6,5610355.5,7012235.0
Boat,gray,1535878.6,,,20335.836
Desk_oBA2,color,12428290.0,10931798.0,20967898.0,1352809.4,10931798.0,20967898.0
kodim04,color,3013083.5,2539195.8,2163495.0,71803.73,2539195.8,2163495.0
kodim07,color,3095654.2,3311060.5,4368048.5,56474.43,3311060.5,4368048.5
kodim19,color,1824021.8,1822433.5,2753951.2,4121.0625,1822433.5,2753951.2
kodim22,color,3021213.5,2212815.5,2943067.2,11192.922,2212815.5,2943067.2
kodim23,color,1822127.6,1525946.6,3620096.8,32708.266,1525946.6,3620096.8
Peppers,color,852748.9,1273531.9,1965712.6,57436.406,1273531.9,1965712.6
Tank,gray,8103599.5,,,18867.797
